x	y	fast_likelihood_quarks.yaml	custom_beta	global
-2.08	0.9763265306122451	-168.57418036471302	-125.11091411178188	-168.57418036471302
-2.08	1.0612244897959187	-197.57798591314577	-148.8688556914459	-197.57798591314577
-2.08	1.1461224489795918	-229.27139440992448	-174.7165535263481	-229.27139440992448
-2.08	1.2310204081632654	-263.5868160415523	-202.66055494126	-263.5868160415523
-2.08	1.315918367346939	-300.7703264431037	-232.70742634287046	-300.7703264431037
-2.08	1.4008163265306122	-340.7608783721822	-264.8637532786339	-340.7608783721822
-2.08	1.4857142857142858	-383.62146279887554	-299.1361404954188	-383.62146279887554
-2.08	1.5706122448979594	-429.4554278337117	-335.531211999138	-429.4554278337117
-2.08	1.655510204081633	-478.2916881235009	-374.0556111139059	-478.2916881235009
-2.08	1.7404081632653061	-530.2465270891176	-414.71600054168596	-530.2465270891176
-2.08	1.8253061224489797	-585.477306910627	-457.5190624221931	-585.477306910627
-2.08	1.9102040816326533	-644.0950637441584	-502.47149839248675	-644.0950637441584
-2.08	1.9951020408163265	-706.2409226905951	-549.5800296479209	-706.2409226905951
-2.08	2.08	-772.0843852023014	-598.8513970016933	-772.0843852023014
-1.9951020408163267	-2.08	-1086.2350427709562	-607.8993820084532	-1086.2350427709562
-1.9951020408163267	-1.9951020408163267	-1001.7241970167053	-560.6304579101892	-1001.7241970167053
-1.9951020408163267	-1.910204081632653	-921.0393535800007	-515.2278116810202	-921.0393535800007
-1.9951020408163267	-1.8253061224489797	-844.1865614813029	-471.6973412479091	-844.1865614813029
-1.9951020408163267	-1.7404081632653061	-771.1139620764201	-430.04496162774274	-771.1139620764201
-1.9951020408163267	-1.6555102040816327	-701.768788278759	-390.27660497963586	-701.768788278759
-1.9951020408163267	-1.5706122448979594	-636.1021203700294	-352.39822065736223	-636.1021203700294
-1.9951020408163267	-1.4857142857142858	-574.0586518877583	-316.4157752613204	-574.0586518877583
-1.9951020408163267	-1.4008163265306122	-515.5920409801037	-282.335252691984	-515.5920409801037
-1.9951020408163267	-1.3159183673469388	-460.6533965341365	-250.16265420222987	-460.6533965341365
-1.9951020408163267	-1.2310204081632654	-409.1966632688791	-219.903998450642	-409.1966632688791
-1.9951020408163267	-1.1461224489795918	-361.1743688961095	-191.5653215546513	-361.1743688961095
-1.9951020408163267	-1.0612244897959184	-316.549806003805	-165.1526771440033	-316.549806003805
-1.9951020408163267	-0.9763265306122448	-275.7950103094072	-140.67213641421006	-275.7950103094072
-1.9951020408163267	-0.8914285714285715	-237.81788293271404	-118.12978818042518	-237.81788293271404
-1.9951020408163267	-0.8065306122448979	-203.10182318823195	-97.53173893132384	-203.10182318823195
-1.9951020408163267	-0.7216326530612245	-171.60837878489644	-78.88411288325449	-171.60837878489644
-1.9951020408163267	-0.6367346938775511	-143.2930949818674	-62.19305203447709	-143.2930949818674
-1.9951020408163267	-0.5518367346938775	-118.12154968783858	-47.464716219676575	-118.12154968783858
-1.9951020408163267	-0.46693877551020413	-96.03412600505351	-34.70528316459877	-96.03412600505351
-1.9951020408163267	-0.38204081632653053	-77.0381553008724	-23.920948540892823	-77.0381553008724
-1.9951020408163267	-0.29714285714285715	-61.03979324013517	-15.117926021113703	-61.03979324013517
-1.9951020408163267	-0.21224489795918355	-48.08766608754911	-8.302447333962277	-48.08766608754911
-1.9951020408163267	-0.12734693877551018	-38.207231949944685	-3.4807623196337545	-38.207231949944685
-1.9951020408163267	-0.0424489795918368	-31.12881827525854	-0.6591389853861074	-31.12881827525854
-1.9951020408163267	0.0424489795918368	-26.886383094245957	0.15613643868107374	-26.886383094245957
-1.9951020408163267	0.1273469387755104	-25.10426472307506	-1.0412405562880167	-25.10426472307506
-1.9951020408163267	0.21224489795918355	-26.76779891019146	-4.257592814043733	-26.76779891019146
-1.9951020408163267	0.29714285714285715	-31.135195165674304	-9.499261569548707	-31.135195165674304
-1.9951020408163267	0.38204081632653075	-38.29989114675999	-16.77260650546134	-38.29989114675999
-1.9951020408163267	0.46693877551020435	-48.150848276129636	-26.084005808840743	-48.150848276129636
-1.9951020408163267	0.5518367346938775	-60.850437764317235	-37.439856227983796	-60.850437764317235
-1.9951020408163267	0.6367346938775511	-76.28283561620862	-50.84657312959894	-76.28283561620862
-1.9951020408163267	0.7216326530612247	-94.4340572890419	-66.31059055590742	-94.4340572890419
-1.9951020408163267	0.8065306122448979	-115.29135532993757	-83.83836128221208	-115.29135532993757
-1.9951020408163267	0.8914285714285715	-138.84654828574912	-103.43635687452581	-138.84654828574912
-1.9951020408163267	0.9763265306122451	-165.09160972431107	-125.11106774732525	-165.09160972431107
-1.9951020408163267	1.0612244897959187	-194.06267990765969	-148.86900322169413	-194.06267990765969
-1.9951020408163267	1.1461224489795918	-225.72448192116337	-174.71669158340694	-225.72448192116337
-1.9951020408163267	1.2310204081632654	-260.0057589912101	-202.6606801414531	-260.0057589912101
-1.9951020408163267	1.315918367346939	-297.15138595833514	-232.70753528663488	-297.15138595833514
-1.9951020408163267	1.4008163265306122	-337.0980586104529	-264.8638425503203	-337.0980586104529
-1.9951020408163267	1.4857142857142858	-379.90653170815506	-299.1362066634623	-379.90653170815506
-1.9951020408163267	1.5706122448979594	-425.6781860216454	-335.5312516157909	-425.6781860216454
-1.9951020408163267	1.655510204081633	-474.4376357650706	-374.0556207153337	-474.4376357650706
-1.9951020408163267	1.7404081632653061	-526.2988979897166	-414.71597664785793	-526.2988979897166
-1.9951020408163267	1.8253061224489797	-581.4158259745628	-457.51900153658346	-581.4158259745628
-1.9951020408163267	1.9102040816326533	-639.8975521758842	-502.47139700253445	-639.8975521758842
-1.9951020408163267	1.9951020408163265	-701.8780671528124	-549.5798842243761	-701.8780671528124
-1.9951020408163267	2.08	-767.5252826726957	-598.8512039990263	-767.5252826726957
-1.910204081632653	-2.08	-1087.09225231238	-607.8976402666489	-1087.09225231238
-1.910204081632653	-1.9951020408163267	-1002.2780305775474	-560.6288212821313	-1002.2780305775474
-1.910204081632653	-1.910204081632653	-921.361430196899	-515.2262773309998	-921.361430196899
-1.910204081632653	-1.8253061224489797	-844.2861770913925	-471.6959063263722	-844.2861770913925
-1.910204081632653	-1.7404081632653061	-771.0002217104644	-430.04362327139154	-771.0002217104644
-1.910204081632653	-1.6555102040816327	-701.4506148126158	-390.2753603112873	-701.4506148126158
-1.910204081632653	-1.5706122448979594	-635.5882860530835	-352.39706678571144	-635.5882860530835
-1.910204081632653	-1.4857142857142858	-573.3576489911821	-316.4147092813149	-573.3576489911821
-1.910204081632653	-1.4008163265306122	-514.7122161587445	-282.33427168425885	-514.7122161587445
-1.910204081632653	-1.3159183673469388	-459.6029027881501	-250.1617552334916	-459.6029027881501
-1.910204081632653	-1.2310204081632654	-407.98346198986985	-219.9031785733988	-407.98346198986985
-1.910204081632653	-1.1461224489795918	-359.81333666007004	-191.5645778071879	-359.81333666007004
-1.910204081632653	-1.0612244897959184	-315.0343248076837	-165.1520065502924	-315.0343248076837
-1.910204081632653	-0.9763265306122448	-274.1401784597474	-140.67153598391872	-274.1401784597474
-1.910204081632653	-0.8914285714285715	-236.03024178436283	-118.12925490887824	-236.03024178436283
-1.910204081632653	-0.8065306122448979	-201.18837407725812	-97.53126979934075	-201.18837407725812
-1.910204081632653	-0.7216326530612245	-169.57595395238144	-78.88370485724045	-169.57595395238144
-1.910204081632653	-0.6367346938775511	-141.14828860921568	-62.19270206620263	-141.14828860921568
-1.910204081632653	-0.5518367346938775	-115.87077382888111	-47.46442124632392	-115.87077382888111
-1.910204081632653	-0.46693877551020413	-93.68365746747014	-34.70504010870741	-93.68365746747014
-1.910204081632653	-0.38204081632653053	-74.59389168774044	-23.920754310273082	-74.59389168774044
-1.910204081632653	-0.29714285714285715	-58.5075355609535	-15.117777508797985	-58.5075355609535
-1.910204081632653	-0.21224489795918355	-45.473057811775334	-8.302341418141168	-45.473057811775334
-1.910204081632653	-0.12734693877551018	-35.516105793572194	-3.48069586359577	-35.516105793572194
-1.910204081632653	-0.0424489795918368	-28.365990667660242	-0.6591088374774472	-28.365990667660242
-1.910204081632653	0.0424489795918368	-24.056982485798926	0.15613344512780714	-24.056982485798926
-1.910204081632653	0.1273469387755104	-22.212675027985426	-1.041273509571397	-22.212675027985426
-1.910204081632653	0.21224489795918355	-23.82064967528254	-4.2576525301961965	-23.82064967528254
-1.910204081632653	0.29714285714285715	-28.13506902282012	-9.499344836524756	-28.13506902282012
-1.910204081632653	0.38204081632653075	-35.25084666225479	-16.772710095966204	-35.25084666225479
-1.910204081632653	0.46693877551020435	-45.055146237781855	-26.084126480276836	-45.055146237781855
-1.910204081632653	0.5518367346938775	-57.71317700645301	-37.439990722408425	-57.71317700645301
-1.910204081632653	0.6367346938775511	-73.10717553627143	-50.84671817362107	-73.10717553627143
-1.910204081632653	0.7216326530612247	-91.22264110576828	-66.31074286066485	-91.22264110576828
-1.910204081632653	0.8065306122448979	-112.04679769030633	-83.83851754332409	-112.04679769030633
-1.910204081632653	0.8914285714285715	-135.5704855278878	-103.4365137719534	-135.5704855278878
-1.910204081632653	0.9763265306122451	-161.78515963888873	-125.11122194542645	-161.78515963888873
-1.910204081632653	1.0612244897959187	-190.72568962951186	-148.86915136905407	-190.72568962951186
-1.910204081632653	1.1461224489795918	-222.35654772999817	-174.71683031281884	-222.35654772999817
-1.910204081632653	1.2310204081632654	-256.6044012071201	-202.66080606997264	-256.6044012071201
-1.910204081632653	1.315918367346939	-293.71317867616904	-232.70764501529345	-293.71317867616904
-1.910204081632653	1.4008163265306122	-333.6172376024374	-264.86393266418384	-333.6172376024374
