x	y	likelihood_ewpt.yaml	global
-1.9951020408163267	-0.29714285714285715	-20642.929167617767	-20642.929167617767
-1.9951020408163267	-0.21224489795918355	-19271.01576969174	-19271.01576969174
-1.9951020408163267	-0.12734693877551018	-17945.828664427005	-17945.828664427005
-1.9951020408163267	-0.0424489795918368	-16667.439052836966	-16667.439052836966
-1.9951020408163267	0.0424489795918368	-15435.918057853127	-15435.918057853127
-1.9951020408163267	0.1273469387755104	-14251.336723524691	-14251.336723524691
-1.9951020408163267	0.21224489795918355	-13113.766014226507	-13113.766014226507
-1.9951020408163267	0.29714285714285715	-12023.27681385974	-12023.27681385974
-1.9951020408163267	0.38204081632653075	-10979.939925052695	-10979.939925052695
-1.9951020408163267	0.46693877551020435	-9983.826068361128	-9983.826068361128
-1.9951020408163267	0.5518367346938775	-9035.005881465262	-9035.005881465262
-1.9951020408163267	0.6367346938775511	-8133.5499183657685	-8133.5499183657685
-1.9951020408163267	0.7216326530612247	-7279.5286485798615	-7279.5286485798615
-1.9951020408163267	0.8065306122448979	-6473.012456334379	-6473.012456334379
-1.9951020408163267	0.8914285714285715	-5714.071639756319	-5714.071639756319
-1.9951020408163267	0.9763265306122451	-5002.776410065057	-5002.776410065057
-1.9951020408163267	1.0612244897959187	-4339.196890760282	-4339.196890760282
-1.9951020408163267	1.1461224489795918	-3723.4031168100055	-3723.4031168100055
-1.9951020408163267	1.2310204081632654	-3155.4650338362685	-3155.4650338362685
-1.9951020408163267	1.315918367346939	-2635.4524973002235	-2635.4524973002235
-1.9951020408163267	1.4008163265306122	-2163.4352716848666	-2163.4352716848666
-1.9951020408163267	1.4857142857142858	-1739.4830296769155	-1739.4830296769155
-1.9951020408163267	1.5706122448979594	-1363.6653513475633	-1363.6653513475633
-1.9951020408163267	1.655510204081633	-1036.0517233309413	-1036.0517233309413
-1.9951020408163267	1.7404081632653061	-756.7115380019724	-756.7115380019724
-1.9951020408163267	1.8253061224489797	-525.7140926521021	-525.7140926521021
-1.9951020408163267	1.9102040816326533	-343.12858866448437	-343.12858866448437
-1.9951020408163267	1.9951020408163265	-209.0241306871901	-209.0241306871901
-1.9951020408163267	2.08	-123.46972580505836	-123.46972580505836
-1.910204081632653	-2.08	-57540.1890873645	-57540.1890873645
-1.910204081632653	-1.9951020408163267	-55253.328733945935	-55253.328733945935
-1.910204081632653	-1.910204081632653	-53011.767019578656	-53011.767019578656
-1.910204081632653	-1.8253061224489797	-50815.576543358155	-50815.576543358155
-1.910204081632653	-1.7404081632653061	-48664.82984175843	-48664.82984175843
-1.910204081632653	-1.6555102040816327	-46559.59938786384	-46559.59938786384
-1.910204081632653	-1.5706122448979594	-44499.95759060901	-44499.95759060901
-1.910204081632653	-1.4857142857142858	-42485.976794008064	-42485.976794008064
-1.910204081632653	-1.4008163265306122	-40517.72927639142	-40517.72927639142
-1.910204081632653	-1.3159183673469388	-38595.287249632645	-38595.287249632645
-1.910204081632653	-1.2310204081632654	-36718.72285837631	-36718.72285837631
-1.910204081632653	-1.1461224489795918	-34888.10817926853	-34888.10817926853
-1.910204081632653	-1.0612244897959184	-33103.51522017951	-33103.51522017951
-1.910204081632653	-0.9763265306122448	-31365.01591942943	-31365.01591942943
-1.910204081632653	-0.8914285714285715	-29672.682145009498	-29672.682145009498
-1.910204081632653	-0.8065306122448979	-28026.58569380277	-28026.58569380277
-1.910204081632653	-0.7216326530612245	-26426.798290802308	-26426.798290802308
-1.910204081632653	-0.6367346938775511	-24873.391588332444	-24873.391588332444
-1.910204081632653	-0.5518367346938775	-23366.43716525987	-23366.43716525987
-1.910204081632653	-0.46693877551020413	-21906.0065262111	-21906.0065262111
-1.910204081632653	-0.38204081632653053	-20492.1711007841	-20492.1711007841
-1.910204081632653	-0.29714285714285715	-19125.00224275877	-19125.00224275877
-1.910204081632653	-0.21224489795918355	-17804.571229309542	-17804.571229309542
-1.910204081632653	-0.12734693877551018	-16530.949260210873	-16530.949260210873
-1.910204081632653	-0.0424489795918368	-15304.207457044511	-15304.207457044511
-1.910204081632653	0.0424489795918368	-14124.416862405218	-14124.416862405218
-1.910204081632653	0.1273469387755104	-12991.648439103115	-12991.648439103115
-1.910204081632653	0.21224489795918355	-11905.973069367234	-11905.973069367234
-1.910204081632653	0.29714285714285715	-10867.461554044568	-10867.461554044568
-1.910204081632653	0.38204081632653075	-9876.184611800481	-9876.184611800481
-1.910204081632653	0.46693877551020435	-8932.212878315317	-8932.212878315317
-1.910204081632653	0.5518367346938775	-8035.616905480668	-8035.616905480668
-1.910204081632653	0.6367346938775511	-7186.467160594077	-7186.467160594077
-1.910204081632653	0.7216326530612247	-6384.8340255518	-6384.8340255518
-1.910204081632653	0.8065306122448979	-5630.787796040378	-5630.787796040378
-1.910204081632653	0.8914285714285715	-4924.398680727252	-4924.398680727252
-1.910204081632653	0.9763265306122451	-4265.736800448955	-4265.736800448955
-1.910204081632653	1.0612244897959187	-3654.8721873983295	-3654.8721873983295
-1.910204081632653	1.1461224489795918	-3091.8747843110336	-3091.8747843110336
-1.910204081632653	1.2310204081632654	-2576.8144436482794	-2576.8144436482794
-1.910204081632653	1.315918367346939	-2109.7609267815415	-2109.7609267815415
-1.910204081632653	1.4008163265306122	-1690.7839031726214	-1690.7839031726214
-1.910204081632653	1.4857142857142858	-1319.952949554218	-1319.952949554218
-1.910204081632653	1.5706122448979594	-997.3375491087978	-997.3375491087978
-1.910204081632653	1.655510204081633	-723.0070906455107	-723.0070906455107
