x	y	likelihood_ewpt.yaml	global
-1.04	-2.08	-3301.3876717113008	-3301.3876717113008
-1.04	-1.9951020408163267	-3296.4278436362865	-3296.4278436362865
-1.04	-1.910204081632653	-3291.5573306599485	-3291.5573306599485
-1.04	-1.8253061224489797	-3286.776220468492	-3286.776220468492
-1.04	-1.7404081632653061	-3282.0846007179157	-3282.0846007179157
-1.04	-1.6555102040816327	-3277.482559034235	-3277.482559034235
-1.04	-1.5706122448979594	-3272.9701830130407	-3272.9701830130407
-1.04	-1.4857142857142858	-3268.547560219806	-3268.547560219806
-1.04	-1.4008163265306122	-3264.214778189271	-3264.214778189271
-1.04	-1.3159183673469388	-3259.971924425648	-3259.971924425648
-1.04	-1.2310204081632654	-3255.819086402271	-3255.819086402271
-1.04	-1.1461224489795918	-3251.756351561924	-3251.756351561924
-1.04	-1.0612244897959184	-3247.783807316306	-3247.783807316306
-1.04	-0.9763265306122448	-3243.9015410470256	-3243.9015410470256
-1.04	-0.8914285714285715	-3240.109640103326	-3240.109640103326
-1.04	-0.8065306122448979	-3236.408191804285	-3236.408191804285
-1.04	-0.7216326530612245	-3232.7972834370858	-3232.7972834370858
-1.04	-0.6367346938775511	-3229.2770022584514	-3229.2770022584514
-1.04	-0.5518367346938775	-3225.847435492825	-3225.847435492825
-1.04	-0.46693877551020413	-3222.5086703335346	-3222.5086703335346
-1.04	-0.38204081632653053	-3219.260793942374	-3219.260793942374
-1.04	-0.29714285714285715	-3216.1038934492212	-3216.1038934492212
-1.04	-0.21224489795918355	-3213.0380559524415	-3213.0380559524415
-1.04	-0.12734693877551018	-3210.063368518212	-3210.063368518212
-1.04	-0.0424489795918368	-3207.179918180952	-3207.179918180952
-1.04	0.0424489795918368	-3204.3877919431206	-3204.3877919431206
-1.04	0.1273469387755104	-3201.687076774897	-3201.687076774897
-1.04	0.21224489795918355	-3199.077859613929	-3199.077859613929
-1.04	0.29714285714285715	-3196.560227366367	-3196.560227366367
-1.04	0.38204081632653075	-3194.1342669048618	-3194.1342669048618
-1.04	0.46693877551020435	-3191.8000650706513	-3191.8000650706513
-1.04	0.5518367346938775	-3189.5577086711382	-3189.5577086711382
-1.04	0.6367346938775511	-3187.407284482454	-3187.407284482454
-1.04	0.7216326530612247	-3185.3488792468743	-3185.3488792468743
-1.04	0.8065306122448979	-3183.38257967453	-3183.38257967453
-1.04	0.8914285714285715	-3181.508472441566	-3181.508472441566
-1.04	0.9763265306122451	-3179.7266441923957	-3179.7266441923957
-1.04	1.0612244897959187	-3178.037181537389	-3178.037181537389
-1.04	1.1461224489795918	-3176.440171054032	-3176.440171054032
-1.04	1.2310204081632654	-3174.935699286168	-3174.935699286168
-1.04	1.315918367346939	-3173.523852744969	-3173.523852744969
-1.04	1.4008163265306122	-3172.204717907296	-3172.204717907296
-1.04	1.4857142857142858	-3170.978381216652	-3170.978381216652
-1.04	1.5706122448979594	-3169.844929083272	-3169.844929083272
-1.04	1.655510204081633	-3168.8044478834254	-3168.8044478834254
-1.04	1.7404081632653061	-3167.857023959399	-3167.857023959399
-1.04	1.8253061224489797	-3167.002743619463	-3167.002743619463
-1.04	1.9102040816326533	-3166.2416931382295	-3166.2416931382295
-1.04	1.9951020408163265	-3165.5739587554654	-3165.5739587554654
-1.04	2.08	-3164.999626678066	-3164.999626678066
-0.9975510204081633	-2.08	-2993.9716448443223	-2993.9716448443223
-0.9975510204081633	-1.9951020408163267	-2989.136616947276	-2989.136616947276
-0.9975510204081633	-1.910204081632653	-2984.3909452723447	-2984.3909452723447
-0.9975510204081633	-1.8253061224489797	-2979.7347174821907	-2979.7347174821907
-0.9975510204081633	-1.7404081632653061	-2975.168021209026	-2975.168021209026
-0.9975510204081633	-1.6555102040816327	-2970.6909440545032	-2970.6909440545032
-0.9975510204081633	-1.5706122448979594	-2966.303573590678	-2966.303573590678
-0.9975510204081633	-1.4857142857142858	-2962.0059973584926	-2962.0059973584926
-0.9975510204081633	-1.4008163265306122	-2957.798302868485	-2957.798302868485
-0.9975510204081633	-1.3159183673469388	-2953.680577601122	-2953.680577601122
-0.9975510204081633	-1.2310204081632654	-2949.652909005604	-2949.652909005604
-0.9975510204081633	-1.1461224489795918	-2945.715384500581	-2945.715384500581
-0.9975510204081633	-1.0612244897959184	-2941.8680914740985	-2941.8680914740985
-0.9975510204081633	-0.9763265306122448	-2938.1111172823535	-2938.1111172823535
-0.9975510204081633	-0.8914285714285715	-2934.4445492515806	-2934.4445492515806
-0.9975510204081633	-0.8065306122448979	-2930.8684746759004	-2930.8684746759004
-0.9975510204081633	-0.7216326530612245	-2927.3829808189225	-2927.3829808189225
-0.9975510204081633	-0.6367346938775511	-2923.9881549124434	-2923.9881549124434
-0.9975510204081633	-0.5518367346938775	-2920.684084157078	-2920.684084157078
-0.9975510204081633	-0.46693877551020413	-2917.4708557215663	-2917.4708557215663
-0.9975510204081633	-0.38204081632653053	-2914.3485567436733	-2914.3485567436733
-0.9975510204081633	-0.29714285714285715	-2911.317274328601	-2911.317274328601
-0.9975510204081633	-0.21224489795918355	-2908.3770955505292	-2908.3770955505292
-0.9975510204081633	-0.12734693877551018	-2905.528107451258	-2905.528107451258
-0.9975510204081633	-0.0424489795918368	-2902.7703970407397	-2902.7703970407397
-0.9975510204081633	0.0424489795918368	-2900.104051297022	-2900.104051297022
-0.9975510204081633	0.1273469387755104	-2897.5291571655257	-2897.5291571655257
-0.9975510204081633	0.21224489795918355	-2895.045801560068	-2895.045801560068
-0.9975510204081633	0.29714285714285715	-2892.6540713615864	-2892.6540713615864
-0.9975510204081633	0.38204081632653075	-2890.3540534188733	-2890.3540534188733
-0.9975510204081633	0.46693877551020435	-2888.1458345480237	-2888.1458345480237
-0.9975510204081633	0.5518367346938775	-2886.0295015326697	-2886.0295015326697
-0.9975510204081633	0.6367346938775511	-2884.005141123165	-2884.005141123165
-0.9975510204081633	0.7216326530612247	-2882.0728400383396	-2882.0728400383396
-0.9975510204081633	0.8065306122448979	-2880.2326849625647	-2880.2326849625647
-0.9975510204081633	0.8914285714285715	-2878.4847625486364	-2878.4847625486364
-0.9975510204081633	0.9763265306122451	-2876.829159415108	-2876.829159415108
-0.9975510204081633	1.0612244897959187	-2875.265962148281	-2875.265962148281
-0.9975510204081633	1.1461224489795918	-2873.7952573008956	-2873.7952573008956
-0.9975510204081633	1.2310204081632654	-2872.4171313919064	-2872.4171313919064
-0.9975510204081633	1.315918367346939	-2871.1316709075977	-2871.1316709075977
-0.9975510204081633	1.4008163265306122	-2869.9389623004076	-2869.9389623004076
-0.9975510204081633	1.4857142857142858	-2868.839091988796	-2868.839091988796
