x	y	custom_beta
-1.04	-2.08	-150.7793821944233
-1.04	-1.9951020408163267	-150.7792468598633
-1.04	-1.910204081632653	-150.7791086638742
-1.04	-1.8253061224489797	-150.7789676064561
-1.04	-1.7404081632653061	-150.7788236876089
-1.04	-1.6555102040816327	-150.77867690733265
-1.04	-1.5706122448979594	-150.77852726562733
-1.04	-1.4857142857142858	-150.77837476249297
-1.04	-1.4008163265306122	-150.77821939792955
-1.04	-1.3159183673469388	-150.77806117193705
-1.04	-1.2310204081632654	-150.77790008451552
-1.04	-1.1461224489795918	-150.77773613566492
-1.04	-1.0612244897959184	-150.77756932538526
-1.04	-0.9763265306122448	-150.77739965367653
-1.04	-0.8914285714285715	-150.77722712053875
-1.04	-0.8065306122448979	-150.77705172597192
-1.04	-0.7216326530612245	-150.776873469976
-1.04	-0.6367346938775511	-150.77669235255107
-1.04	-0.5518367346938775	-150.77650837369706
-1.04	-0.46693877551020413	-150.77632153341398
-1.04	-0.38204081632653053	-150.77613183170186
-1.04	-0.29714285714285715	-150.77593926856068
-1.04	-0.21224489795918355	-150.77574384399043
-1.04	-0.12734693877551018	-150.7755455579911
-1.04	-0.0424489795918368	-150.77534441056275
-1.04	0.0424489795918368	-150.77514040170536
-1.04	0.1273469387755104	-150.77493353141887
-1.04	0.21224489795918355	-150.77472379970334
-1.04	0.29714285714285715	-150.77451120655874
-1.04	0.38204081632653075	-150.77429575198508
-1.04	0.46693877551020435	-150.77407743598235
-1.04	0.5518367346938775	-150.77385625855058
-1.04	0.6367346938775511	-150.77363221968974
-1.04	0.7216326530612247	-150.77340531939984
-1.04	0.8065306122448979	-150.7731755576809
-1.04	0.8914285714285715	-150.7729429345329
-1.04	0.9763265306122451	-150.77270744995582
-1.04	1.0612244897959187	-150.7724691039497
-1.04	1.1461224489795918	-150.77222789651452
-1.04	1.2310204081632654	-150.77198382765027
-1.04	1.315918367346939	-150.77173689735696
-1.04	1.4008163265306122	-150.7714871056346
-1.04	1.4857142857142858	-150.77123445248318
-1.04	1.5706122448979594	-150.7709789379027
-1.04	1.655510204081633	-150.77072056189317
-1.04	1.7404081632653061	-150.77045932445458
-1.04	1.8253061224489797	-150.77019522558692
-1.04	1.9102040816326533	-150.7699282652902
-1.04	1.9951020408163265	-150.76965844356442
-1.04	2.08	-150.7693857604096
-0.9975510204081633	-2.08	-138.72238652151535
-0.9975510204081633	-1.9951020408163267	-138.72225118695533
-0.9975510204081633	-1.910204081632653	-138.72211299096625
-0.9975510204081633	-1.8253061224489797	-138.72197193354813
-0.9975510204081633	-1.7404081632653061	-138.72182801470095
-0.9975510204081633	-1.6555102040816327	-138.7216812344247
-0.9975510204081633	-1.5706122448979594	-138.72153159271937
-0.9975510204081633	-1.4857142857142858	-138.721379089585
-0.9975510204081633	-1.4008163265306122	-138.7212237250216
-0.9975510204081633	-1.3159183673469388	-138.7210654990291
-0.9975510204081633	-1.2310204081632654	-138.72090441160756
-0.9975510204081633	-1.1461224489795918	-138.72074046275696
-0.9975510204081633	-1.0612244897959184	-138.7205736524773
-0.9975510204081633	-0.9763265306122448	-138.72040398076857
-0.9975510204081633	-0.8914285714285715	-138.7202314476308
-0.9975510204081633	-0.8065306122448979	-138.72005605306396
-0.9975510204081633	-0.7216326530612245	-138.71987779706805
-0.9975510204081633	-0.6367346938775511	-138.7196966796431
-0.9975510204081633	-0.5518367346938775	-138.7195127007891
-0.9975510204081633	-0.46693877551020413	-138.71932586050602
-0.9975510204081633	-0.38204081632653053	-138.7191361587939
-0.9975510204081633	-0.29714285714285715	-138.71894359565272
-0.9975510204081633	-0.21224489795918355	-138.71874817108247
-0.9975510204081633	-0.12734693877551018	-138.71854988508315
-0.9975510204081633	-0.0424489795918368	-138.7183487376548
-0.9975510204081633	0.0424489795918368	-138.7181447287974
-0.9975510204081633	0.1273469387755104	-138.7179378585109
-0.9975510204081633	0.21224489795918355	-138.71772812679538
-0.9975510204081633	0.29714285714285715	-138.71751553365078
-0.9975510204081633	0.38204081632653075	-138.71730007907712
-0.9975510204081633	0.46693877551020435	-138.7170817630744
-0.9975510204081633	0.5518367346938775	-138.71686058564262
-0.9975510204081633	0.6367346938775511	-138.71663654678179
-0.9975510204081633	0.7216326530612247	-138.71640964649188
-0.9975510204081633	0.8065306122448979	-138.71617988477294
-0.9975510204081633	0.8914285714285715	-138.71594726162493
-0.9975510204081633	0.9763265306122451	-138.71571177704786
-0.9975510204081633	1.0612244897959187	-138.71547343104174
-0.9975510204081633	1.1461224489795918	-138.71523222360656
-0.9975510204081633	1.2310204081632654	-138.71498815474231
-0.9975510204081633	1.315918367346939	-138.714741224449
-0.9975510204081633	1.4008163265306122	-138.71449143272665
-0.9975510204081633	1.4857142857142858	-138.71423877957523
-0.9975510204081633	1.5706122448979594	-138.71398326499474
-0.9975510204081633	1.655510204081633	-138.7137248889852
-0.9975510204081633	1.7404081632653061	-138.71346365154662
-0.9975510204081633	1.8253061224489797	-138.71319955267896
-0.9975510204081633	1.9102040816326533	-138.71293259238223
-0.9975510204081633	1.9951020408163265	-138.71266277065646
-0.9975510204081633	2.08	-138.71239008750163
-0.9551020408163265	-2.08	-127.16776566831186
-0.9551020408163265	-1.9951020408163267	-127.16763033375184
-0.9551020408163265	-1.910204081632653	-127.16749213776276
-0.9551020408163265	-1.8253061224489797	-127.16735108034463
-0.9551020408163265	-1.7404081632653061	-127.16720716149744
-0.9551020408163265	-1.6555102040816327	-127.16706038122119
-0.9551020408163265	-1.5706122448979594	-127.16691073951588
-0.9551020408163265	-1.4857142857142858	-127.16675823638153
-0.9551020408163265	-1.4008163265306122	-127.1666028718181
-0.9551020408163265	-1.3159183673469388	-127.1664446458256
-0.9551020408163265	-1.2310204081632654	-127.16628355840406
-0.9551020408163265	-1.1461224489795918	-127.16611960955346
-0.9551020408163265	-1.0612244897959184	-127.16595279927381
-0.9551020408163265	-0.9763265306122448	-127.1657831275651
-0.9551020408163265	-0.8914285714285715	-127.16561059442732
-0.9551020408163265	-0.8065306122448979	-127.16543519986048
-0.9551020408163265	-0.7216326530612245	-127.16525694386459
-0.9551020408163265	-0.6367346938775511	-127.16507582643963
-0.9551020408163265	-0.5518367346938775	-127.16489184758562
-0.9551020408163265	-0.46693877551020413	-127.16470500730256
-0.9551020408163265	-0.38204081632653053	-127.16451530559043
-0.9551020408163265	-0.29714285714285715	-127.16432274244923
-0.9551020408163265	-0.21224489795918355	-127.164127317879
-0.9551020408163265	-0.12734693877551018	-127.16392903187968
-0.9551020408163265	-0.0424489795918368	-127.16372788445132
-0.9551020408163265	0.0424489795918368	-127.1635238755939
