x	y	fast_likelihood_quarks.yaml	fast_likelihood_leptons.yaml	likelihood_ewpt.yaml	likelihood_eeww.yaml	likelihood_lept.yaml	likelihood_rd_rds.yaml	likelihood_lfu_fccc.yaml	likelihood_lfu_fcnc.yaml	likelihood_bcpv.yaml	likelihood_bqnunu.yaml	likelihood_lfv.yaml	likelihood_zlfv.yaml	likelihood_higgs.yaml	global
-1.04	-2.08	-155.26327650733856	-45.704958120383154	-37.21486986718034	-0.5469883623371921	-0.010535108325411269	-17.286622996735638	-51.34653393480989	-68.0	-0.011385764080486638	-0.2138835505478518	0.0	0.0	1.0066472100334067e-09	-375.5990542107319
-1.04	-1.9951020408163267	-155.2938534052413	-43.218023320570815	-35.350207398889836	-0.5469851221812263	-0.010535098136258192	-16.685189473687473	-51.34408435072741	-68.0	-0.01145725342199988	-0.21424116406332772	0.0	0.0	9.655636290517577e-10	-370.67457658595407
-1.04	-1.910204081632653	-155.32587732798453	-40.81259677855077	-33.53586438857593	-0.5469818820334815	-0.010535087945018673	-16.17269474580751	-51.341665859004685	-68.0	-0.01152940345822806	-0.2145965526748057	0.0	0.0	9.244729426427511e-10	-365.9723420251105
-1.04	-1.8253061224489797	-155.35936285489652	-38.48876499549477	-31.771908589087165	-0.5469786418939719	-0.010535077751655297	-15.74799368417058	-51.33927818039508	-68.0	-0.011602221360759835	-0.21494945221252237	0.0	0.0	8.833893616611022e-10	-361.49137369637964
-1.04	-1.7404081632653061	-155.39432444916895	-36.24661450198836	-30.05840771656202	-0.5469754017626833	-0.010535067556129651	-15.409945174805344	-51.33692103684961	-68.0	-0.011675714399797421	-0.21530027277570873	0.0	0.0	8.42291569824738e-10	-357.2306993350263
-1.04	-1.6555102040816327	-155.43077644137924	-34.08623185802147	-28.395429450341158	-0.5469721616396193	-0.01053505735840421	-15.15741382622663	-51.334594151501314	-68.0	-0.01174988993898296	-0.21564895371549397	0.0	0.0	8.01207988843089e-10	-353.18935178932117
-1.04	-1.5706122448979594	-155.4687330153286	-32.00770365298007	-26.783041432858948	-0.5469689215247513	-0.010535047158438893	-14.989269231337474	-51.33229724865493	-68.0	-0.011824755439413082	-0.2159954563044728	0.0	0.0	7.6012440786144e-10	-349.366368760827
-1.04	-1.4857142857142858	-155.50820818747673	-30.011116505643443	-25.22131126958666	-0.546965681418154	-0.010535036956193178	-14.904385871319114	-51.330030053807086	-68.0	-0.011900318457383818	-0.2163396749668003	0.0	0.0	7.190337214524334e-10	-345.7607925989125
-1.04	-1.4008163265306122	-155.549215793359	-28.09655706416622	-23.71030652889637	-0.5469624413197458	-0.010535026751626653	-14.901643953075016	-51.3277922936366	-68.0	-0.011976586646444076	-0.21668150792696395	0.0	0.0	6.779430350434268e-10	-342.3716711951
-1.04	-1.3159183673469388	-155.5917694617067	-26.264112006074	-22.2500947420025	-0.5469592012296083	-0.010535016544696352	-14.97992747845828	-51.32558369599705	-68.0	-0.012053567761060258	-0.21702104492770857	0.0	0.0	6.368523486344202e-10	-339.19805621406476
-1.04	-1.2310204081632654	-155.63588259969202	-24.513868038247622	-20.84074340284506	-0.5469559611476598	-0.010535006335359975	-15.13812715466647	-51.32340398991179	-68.0	-0.012131269657168708	-0.21735832240669062	0.0	0.0	5.957687676527712e-10	-336.2390057443141
-1.04	-1.1461224489795918	-155.68156836599684	-22.845911896920505	-19.48231996801535	-0.5469527210739074	-0.010534996123572782	-15.375137155386959	-51.321252905603224	-68.0	-0.01220970029060986	-0.2176932832991998	0.0	0.0	5.546851866711222e-10	-333.4935809921555
-1.04	-1.0612244897959184	-155.72883965573465	-21.260330347663384	-18.174891856642912	-0.546949481008415	-0.010534985909290584	-15.689857381062481	-51.319130174444275	-68.0	-0.012288867720871899	-0.2180258149440082	0.0	0.0	5.135945002621156e-10	-330.96084856461675
-1.04	-0.9763265306122448	-155.77770907101524	-19.757210185377147	-16.918526450332788	-0.5469462409511543	-0.010534975692465753	-16.08119284225085	-51.31703552899115	-68.0	-0.01236878010967768	-0.21835587211933571	0.0	0.0	4.72503813853109e-10	-328.63987994636733
-1.04	-0.8914285714285715	-155.82967306083424	-18.336638234274048	-15.713291093042603	-0.5469430009020968	-0.010534965473052216	-16.548053624153837	-51.314968702968464	-68.0	-0.012449445728524466	-0.21868340857146862	0.0	0.0	4.3141312744410243e-10	-326.531235535517
-1.04	-0.8065306122448979	-155.88177500356755	-16.998701347874963	-14.559253091006294	-0.5469397608612994	-0.010534955251000788	-17.089353937812156	-51.312929431276636	-68.0	-0.012530872953907313	-0.21900839626279733	0.0	0.0	3.9032244103509584e-10	-324.63102679647625
-1.04	-0.7216326530612245	-155.9355108740358	-15.743486408990321	-13.456479712643905	-0.5469365208287122	-0.01053494502626362	-17.704014071046288	-51.310917449969104	-68.0	-0.0126130702664069	-0.21933077509052268	0.0	0.0	3.4923886005344684e-10	-322.939823827548
-1.04	-0.6367346938775511	-155.99089185372145	-14.571080329715166	-12.40503818846204	-0.546933280804339	-0.010534934798788642	-18.390958904924688	-51.308932496285	-68.0	-0.012696046259000227	-0.2196504877298473	0.0	0.0	3.0814817364444025e-10	-321.4567165223922
-1.04	-0.5518367346938775	-156.04792771016162	-13.481570051404766	-11.40499571097266	-0.5469300407881832	-0.010534924568524673	-19.14911789322622	-51.306974308604175	-68.0	-0.01277980963476022	-0.219967483502991	0.0	0.0	2.6706459266279126e-10	-320.1807979325969
