x	y	fast_likelihood_quarks.yaml	fast_likelihood_leptons.yaml	likelihood_ewpt.yaml	likelihood_eeww.yaml	likelihood_lept.yaml	likelihood_rd_rds.yaml	likelihood_lfu_fccc.yaml	likelihood_lfu_fcnc.yaml	likelihood_bcpv.yaml	likelihood_bqnunu.yaml	likelihood_lfv.yaml	likelihood_zlfv.yaml	likelihood_higgs.yaml	custom_beta	global
-0.156	-0.0208	6.7024339136151525	-0.7025083399487073	-0.08375228555066982	-0.00041891434592855603	-4.784630255216804e-06	12.735559739845923	-0.016434343313832755	-68.0	0.0032672607434349743	0.408385253766296	-296.9933237819934	-1.448809205939483e-05	0.0005268718467767997	-0.0005793632481072564	-345.9468632613054
-0.156	-0.019951020408163263	6.773141114841792	-0.7025436985473164	-0.08378511569730307	-0.00041363032160290913	-4.796762260061982e-06	12.735767420822594	-0.01639910368393771	-68.0	0.0033097440570450942	0.4083850971235634	-251.7315170084091	-1.4466315107597438e-05	0.000526204576470235	-0.0005495932851999896	-300.61409783160036
-0.156	-0.019102040816326528	6.840340853376006	-0.7025775864545807	-0.08381643641006065	-0.0004085661475912161	-4.808389541421931e-06	12.735966342972949	-0.016365330744054774	-68.0	0.0033505837245595416	0.40838494699768724	-211.88536048232666	-1.4445442740651515e-05	0.0005255650665141332	-0.0005210643338386944	-260.7005004281113
-0.156	-0.018253061224489796	6.904104836935403	-0.7026100033418601	-0.08384646861060219	-0.0004037218642629625	-4.81951200081987e-06	12.736156519737701	-0.016333024702277044	-68.0	0.0033897638860196366	0.4083848033899251	-177.0055051566753	-1.4425475308499358e-05	0.0005249533223299352	-0.0004937763139878371	-225.75665051922422
-0.156	-0.01740408163265306	7.0006770009360935	-0.7026409488923377	-0.08387517182670123	-0.00039909751044220343	-4.830129543886841e-06	12.73633796397785	-0.016302185756522647	-68.0	0.0034272693090358075	0.40838466630145653	-141.95912953633996	-1.4406413157530551e-05	0.0005243693491294721	-0.0004677291594816779	-190.61348263615457
-0.156	-0.016555102040816325	7.021596723739549	-0.7026704228050633	-0.08390244475634034	-0.00039469312307005566	-4.8402420783633104e-06	12.736510687973984	-0.01627281409687953	-68.0	0.003463085396857579	0.4083845357334539	-120.44366161264797	-1.4388256605712968e-05	0.0005238131518474631	-0.00044292279562796466	-169.07688529272792
-0.156	-0.015706122448979593	7.075452395053617	-0.7026984247946828	-0.0839283864821958	-0.0003905087374107552	-4.849849520538463e-06	12.736674703425761	-0.016244909903932125	-68.0	0.0034971981961335885	0.4083844116870665	-97.95944026297764	-1.4371005971014483e-05	0.0005232847352516501	-0.00041935716058105754	-146.5386090778141
-0.156	-0.014857142857142857	7.1261278579845	-0.7027249545875662	-0.08395296622316906	-0.0003865443869237595	-4.858951786479437e-06	12.736830021451297	-0.016218473350413376	-68.0	0.0035295944043367555	0.4083842941633087	-78.83712115958008	-1.4354661542981262e-05	0.0005227841037900305	-0.00039703218737940915	-127.36542579182164
-0.156	-0.014008163265306121	7.173669659236225	-0.7027500119266747	-0.0839761820499092	-0.00038280010331348535	-4.867548799025734e-06	12.736976652586625	-0.016193504597566744	-68.0	0.0035602613768563884	0.4083841831631556	-62.72402219121888	-1.4339223604054041e-05	0.0005223112617436243	-0.0003759478194069743	-111.20460677686354
-0.156	-0.013159183673469386	7.218149726420904	-0.7027735965662814	-0.08399810761550697	-0.00037927591655773085	-4.875640484458543e-06	12.737114606785255	-0.016170003799050647	-68.0	0.0035891871337376813	0.4083840786875541	-49.28689110075884	-1.4324692411804563e-05	0.0005218662131341034	-0.000356104000616142	-97.72282792374916
-0.156	-0.012310204081632652	7.259608455545958	-0.7027957082788845	-0.0840185220764944	-0.00037597185482241	-4.883226774610172e-06	12.737243893417672	-0.016147971100483716	-68.0	0.0036163603660854804	0.40838398073740834	-38.21193208601324	-1.4311068218475498e-05	0.0005214489617166862	-0.0003375006778014722	-86.60625281526787
-0.156	-0.011461224489795918	7.298092569491757	-0.7028163468483513	-0.08403764334418184	-0.0003728879445894506	-4.890307604199506e-06	12.737364521270825	-0.016127406637352237	-68.0	0.003641770442104786	0.40838388931354785	-29.204833228222057	-1.4298351254993236e-05	0.0005210595110582972	-0.0003201377998038879	-77.56052302942591
-0.156	-0.010612244897959183	7.3336456619862815	-0.7028355120737189	-0.08405540089556851	-0.00037002421047915846	-4.896882912941436e-06	12.737476498547817	-0.01610831053463002	-68.0	0.003665407412798416	0.4083838044167365	-21.99079186417304	-1.4286541743402381e-05	0.0005206978644736182	-0.00030401532205814874	-70.31079224040604
-0.156	-0.009763265306122447	7.366308220132055	-0.7028532037689672	-0.08407179330321313	-0.0003673806754740383	-4.902952644325609e-06	12.737579832867443	-0.01609068291146798	-68.0	0.0036872620173040715	0.4083837260476635	-16.31453568061267	-1.4275639875549473e-05	0.0005203640250144304	-0.0002891331998853275	-64.60174764797472
-0.156	-0.008914285714285713	7.396117610048236	-0.7028694217609797	-0.08408682124574796	-0.000364957360670104	-4.908516747281766e-06	12.737674531263792	-0.016074523875616364	-68.0	0.003707325687839713	0.40838365420703937	-11.940346423945888	-1.4265645841504693e-05	0.0005200579955406681	-0.00027549139531402034	-60.197633634544346
-0.156	-0.00806530612244898	7.423108078281587	-0.7028841658928826	-0.08410048271305826	-0.0003627542854971466	-4.9135751735152056e-06	12.737760600186022	-0.016059833526284706	-68.0	0.0037255905543238654	0.408383588895445	-8.652080373198052	-1.4256559815351011e-05	0.0005197797786600233	-0.00026308987139600504	-56.88227223192612
-0.156	-0.007216326530612244	7.483493726566962	-0.7028974360209688	-0.08411281442342755	-0.00036077146762636403	-4.918127880504386e-06	12.737838045497986	-0.016046611954401158	-68.0	0.0037420494485900235	0.40838353011343287	-6.114047814222127	-1.4248381951631472e-05	0.000519529376717287	-0.0002519285935704829	-54.28375966218827
-0.156	-0.006367346938775508	7.468753699667502	-0.7029092320151591	-0.08412370781943324	-0.0003590089228353577	-4.92217482883639e-06	12.737906872477875	-0.01603485924132997	-68.0	0.003756695908247565	0.40838347786151097	-4.5667083040636065	-1.424111238357284e-05	0.0005193067918476402	-0.00024200753318837087	-52.75107623017577
-0.156	-0.005518367346938774	7.487461781394359	-0.702919553761852	-0.08413327243079749	-0.00035746666529590243	-4.925715984094303e-06	12.737967085818134	-0.016024575458793322	-68.0	0.0037695241801500856	0.40838343214010564	-3.4353347128046003	-1.423475124262552e-05	0.0005191120259482318	-0.00023332666330588836	-51.60092113269317
-0.156	-0.0046693877551020405	7.5034568048344	-0.7029284011598662	-0.084141469886859	-0.00035614470731104575	-4.928751315969038e-06	12.738018689625122	-0.016015760670505585	-68.0	0.0037805292234986965	0.4083833929496308	-2.7213755198486442	-1.4229298635370924e-05	0.0005189450806710738	-0.00022588596084460733	-50.87090397857066
-0.156	-0.003820408163265305	7.516757453004971	-0.7029357741230768	-0.0841483726583725	-0.00035504305950695425	-4.93128079970262e-06	12.738061687418877	-0.016008414931107495	-68.0	0.0037897067125554074	0.40838336029036526	-2.3067921112979377	-1.4224754650626892e-05	0.0005188059574408044	-0.00021968540727357322	-50.442967544128514
-0.156	-0.0029714285714285693	7.286837166097939	-0.7029416725795343	-0.0841538386279197	-0.0003541617306588307	-4.933304411647299e-06	12.738096082133133	-0.01600253828544851	-68.0	0.0037970530389630497	0.4083833341626111	-2.089203496214381	-1.4221119370105839e-05	0.0005186946574156082	-0.00021472498269758944	-50.455257256754365
-0.156	-0.002122448979591837	7.294806178597582	-0.7029460964730561	-0.08415786671818637	-0.0003535007279005242	-4.934822136148931e-06	12.738121876114967	-0.01599813076935419	-68.0	0.003802565313709927	0.40838331456664	-2.001896577154442	-1.4218392857756612e-05	0.000518611181590245	-0.00021100467677115375	-50.35994978396021
-0.156	-0.0012734693877551016	7.300122725274491	-0.7029490457590768	-0.08416059950065602	-0.0003530600563834696	-4.9358339597738166e-06	12.73813907112481	-0.01599519241009517	-68.0	0.003806241368661034	0.4083833015025391	-1.973828490537029	-1.4216575156211775e-05	0.0005185555306468359	-0.00020852447676134034	-50.32654417034797
-0.156	-0.00042448979591836605	7.302779440726397	-0.7029505204087627	-0.08416203709949954	-0.00035283971980248907	-4.93633987352915e-06	12.738147668336282	-0.015993723226173984	-68.0	0.0038080797577499936	0.4083832949704842	-1.9696358458257812	-1.421566629744575e-05	0.0005185277050472337	-0.00020728437948491774	-50.31968439116972
-0.156	0.0004244897959183695	7.302779440684731	-0.7029505204087627	-0.08416196583742774	-0.00035283971980248907	-4.93633987352915e-06	12.738147668336282	-0.015993723226173984	-68.0	0.0038080797577499936	0.4083832949704842	-1.9696358458257759	-1.421566629744575e-05	0.0005185277050472337	-0.00020728437948491774	-50.3196843199493
-0.156	0.001273469387755105	7.300122725262554	-0.7029490457590768	-0.0841605993760659	-0.0003530600563834696	-4.9358339597738166e-06	12.73813907112481	-0.01599519241009517	-68.0	0.003806241368660146	0.4083833015025373	-1.9738284905370111	-1.4216575156211775e-05	0.0005185555306468359	-0.00020852447676134034	-50.326544170235294
-0.156	0.002122448979591837	7.294806178592353	-0.7029460964730561	-0.0841578665105196	-0.0003535007279005242	-4.934822136148931e-06	12.738121876114967	-0.01599813076935419	-68.0	0.003802565313709927	0.40838331456664	-2.0018965771546977	-1.4218392857756612e-05	0.000518611181590245	-0.00021100467677115375	-50.359949783758026
-0.156	0.0029714285714285728	7.286823569026808	-0.7029416725795343	-0.08415383826649858	-0.0003541617306588307	-4.933304411647299e-06	12.738096082133133	-0.01600253828544851	-68.0	0.0037970530389630497	0.4083833341626111	-2.0932039208475874	-1.4221119370105839e-05	0.0005186946574156082	-0.00021472498269758944	-50.459271278097276
-0.156	0.0038204081632653084	7.516757452995307	-0.7029357741230768	-0.08414830170642773	-0.00035504305950695425	-4.93128079970262e-06	12.738061687418881	-0.016008414931107495	-68.0	0.0037897067125554074	0.4083833602903617	-2.3067921112955325	-1.4224754650626892e-05	0.0005188059574408044	-0.00021968540727357322	-50.44296747318384
-0.156	0.0046693877551020405	7.503456804840539	-0.7029284011598662	-0.0841414703440222	-0.00035614470731104575	-4.928751315969038e-06	12.738018689625122	-0.016015760670505585	-68.0	0.0037805292234986965	0.4083833929496272	-2.721375519886994	-1.4229298635370924e-05	0.0005189450806710738	-0.00022588596084460733	-50.87090397906004
-0.156	0.005518367346938776	7.4874617814357975	-0.702919553761852	-0.08413327189030895	-0.00035746666529590243	-4.925715984094303e-06	12.737967085818134	-0.016024575458793322	-68.0	0.0037695241801500856	0.4083834321401092	-3.4353347127819873	-1.423475124262552e-05	0.0005191120259482318	-0.00023332666330588836	-51.60092113208864
-0.156	0.006367346938775512	7.468753699655963	-0.7029092320151591	-0.08412377865779064	-0.0003590089228353577	-4.92217482883639e-06	12.737906872477875	-0.01603485924132997	-68.0	0.003756695908247565	0.40838347786151097	-4.566708304353316	-1.424111238357284e-05	0.0005193067918476402	-0.00024200753318837087	-52.75107630131539
-0.156	0.007216326530612247	7.447310767411011	-0.7028974360209688	-0.08411277778569115	-0.00036077146762636403	-4.918127880504386e-06	12.737838045497984	-0.016046611954401158	-68.0	0.003742049448588247	0.40838353011343465	-6.2531827780433495	-1.4248381951631472e-05	0.000519529376717287	-0.0002519285935704829	-54.45907754852771
-0.156	0.008065306122448983	7.423108078273913	-0.7028841658928826	-0.08410048271305826	-0.0003627542854971466	-4.9135751735152056e-06	12.737760600186022	-0.016059833526284706	-68.0	0.0037255905543238654	0.40838358889544324	-8.652080373073314	-1.4256559815351011e-05	0.0005197797786600233	-0.00026308987139600504	-56.882272231809054
-0.156	0.008914285714285715	7.396117610062845	-0.7028694217609797	-0.0840868203710059	-0.000364957360670104	-4.908516747281766e-06	12.737674531263792	-0.016074523875616364	-68.0	0.003707325687839713	0.40838365420703937	-11.940346423906112	-1.4265645841504693e-05	0.0005200579955406681	-0.00027549139531402034	-60.197633633615226
-0.156	0.00976326530612245	7.36630822013268	-0.7028532037689672	-0.08407179426187383	-0.0003673806754740383	-4.902952644325609e-06	12.737579832867443	-0.01609068291146798	-68.0	0.0036872620173040715	0.4083837260476635	-16.31453568060178	-1.4275639875549473e-05	0.0005203640250144304	-0.0002891331998853275	-64.60174764892187
-0.156	0.010612244897959186	7.333645662003789	-0.7028355120737189	-0.0840554716230848	-0.00037002421047915846	-4.896882912941436e-06	12.73747649854782	-0.01610831053462647	-68.0	0.003665407412798416	0.4083838044167365	-21.990791862782295	-1.4286541743402381e-05	0.0005206978644736182	-0.00030401532205814874	-70.3107923097253
-0.156	0.011461224489795918	7.298092569491814	-0.7028163468483513	-0.08403764447113105	-0.0003728879445894506	-4.890307604199506e-06	12.737364521270825	-0.016127406637352237	-68.0	0.003641770442104786	0.40838388931354785	-29.204833228217723	-1.4298351254993236e-05	0.0005210595110582972	-0.0003201377998038879	-77.56052303054845
-0.156	0.012310204081632657	7.2596084555393645	-0.7027957082788845	-0.08401852086513628	-0.00037597185482241	-4.883226774610172e-06	12.737243893417672	-0.016147971100483716	-68.0	0.0036163603660854804	0.4083839807374119	-38.21193208604266	-1.4311068218475498e-05	0.0005214489617166862	-0.0003375006778014722	-86.60625281409251
-0.156	0.01315918367346939	7.218149726415902	-0.7027735965662814	-0.0839981043937641	-0.00037927591655773085	-4.875640484458543e-06	12.737114606785251	-0.016170003799050647	-68.0	0.0035891871337376813	0.4083840786875541	-49.286891100369175	-1.4324692411804563e-05	0.0005218662131341034	-0.000356104000616142	-97.72282792014276
-0.156	0.014008163265306121	7.173669659236225	-0.7027500119266747	-0.08397618343076374	-0.00038280010331348535	-4.867548799025734e-06	12.736976652586625	-0.016193504597566744	-68.0	0.0035602613768563884	0.4083841831631556	-62.72402219159146	-1.4339223604054041e-05	0.0005223112617436243	-0.0003759478194069743	-111.20460677861699
-0.156	0.01485714285714286	7.1261278580414	-0.7027249545875662	-0.08395304058082331	-0.0003865443869237595	-4.858951786479437e-06	12.736830021451297	-0.016218473350413376	-68.0	0.0035295944043367555	0.4083842941633087	-78.8371211561018	-1.4354661542981262e-05	0.0005227841037900305	-0.00039703218737940915	-127.3654258626441
-0.156	0.015706122448979593	7.0754523950537305	-0.7026984247946828	-0.0839283880334527	-0.0003905087374107552	-4.849849520538463e-06	12.736674703425761	-0.016244909903932125	-68.0	0.0034971981961344767	0.4083844116870665	-97.95944026296007	-1.4371005971014483e-05	0.0005232847352516501	-0.00041935716058105754	-146.53860907934768
-0.156	0.016555102040816325	7.0215967237393215	-0.7026704228050633	-0.08390244311949857	-0.00039469312307005566	-4.8402420783633104e-06	12.736510687973984	-0.01627281409687953	-68.0	0.003463085396856691	0.4083845357334539	-120.44366161169351	-1.4388256605712968e-05	0.0005238131518474631	-0.00044292279562796466	-169.07688529013686
