x	y	fast_likelihood_quarks.yaml	fast_likelihood_leptons.yaml	likelihood_ewpt.yaml	likelihood_eeww.yaml	likelihood_lept.yaml	likelihood_rd_rds.yaml	likelihood_lfu_fccc.yaml	likelihood_lfu_fcnc.yaml	likelihood_bcpv.yaml	likelihood_bqnunu.yaml	likelihood_lfv.yaml	likelihood_zlfv.yaml	likelihood_higgs.yaml	global
-1.04	-1.2310204081632654	-4.893305301945702	-7.955889342648511	-111.2554932864366	-0.1183163559533611	-0.003067841150253381	3.166316182492375	-13.4055100547385	-14.302549611413497	0.0007690577178784963	-0.22687089978911068	0.0	0.0	0.24559290692302582	-148.74832454694223
-1.04	-1.1461224489795918	-4.9621743525649435	-6.823021505973301	-109.44155362084005	-0.11831627936985711	-0.003067839185839305	2.4237357421702956	-13.403436950331319	-14.298130839017706	0.0005106912706969169	-0.2272081790530791	0.0	0.0	0.2455927286689814	-146.6070704042261
-1.04	-1.0612244897959184	-5.032625378261571	-5.773098588643236	-107.67851168451261	-0.1183162027874829	-0.0030678372214268945	1.6162474876808304	-13.40139208233498	-14.293703683412609	0.0002501994512424943	-0.22754285945981678	0.0	0.0	0.24559255041504002	-144.66616807908662
-1.04	-0.9763265306122448	-5.104669696761221	-4.806207583199239	-105.96643512708629	-0.11831612620621712	-0.003067835257015261	0.7447974998390023	-13.399375188347754	-14.289268128070098	-1.2442838162485259e-05	-0.22787494160489885	0.0	0.0	0.24559237216119456	-142.92483719737072
-1.04	-0.8914285714285715	-5.178318284729073	-3.922435511462808	-104.30539156099579	-0.11831604962601006	-0.003067833292604738	-0.18967249106895423	-13.397386007157088	-14.284823881855267	-0.00027726105441150395	-0.22820445524620858	0.0	0.0	0.24559219390746279	-141.38230114258073
-1.04	-0.8065306122448979	-5.2535817420101125	-3.1218694245238083	-102.6954485614624	-0.11831597304693986	-0.003067831328195325	-1.186224376052774	-13.395424278756686	-14.28037064850053	-0.000544281018949988	-0.2285314234207778	0.0	0.0	0.24559201565381983	-140.03778652446738
-1.04	-0.7216326530612245	-5.3304702691619354	-2.4045964027281244	-101.13667366635886	-0.1183158964689639	-0.0030678293637879106	-2.2439248583224405	-13.39348974432339	-14.275908204099107	-0.0008135289230972731	-0.22885561760177175	0.0	0.0	0.24559183740029056	-138.89052417995117
-1.04	-0.6367346938775511	-5.409009449485779	-1.7707035556635873	-99.62913437615342	-0.11831581989208573	-0.0030678273993822724	-3.3618449957998315	-13.39158214623238	-14.27143618823041	-0.001085031333473374	-0.2291770538855502	0.0	0.0	0.24559165914686432	-137.939764784929
-1.04	-0.5518367346938775	-5.48917697134857	-1.220278022143745	-98.17289815375102	-0.11831574331632311	-0.00306782543497619	-4.53905990374837	-13.38970122805253	-14.26695429963842	-0.001358815197412433	-0.22949579776290108	0.0	0.0	0.24559148089354466	-137.18471527950072
-1.04	-0.46693877551020413	-5.570997470054863	-0.7534069702002029	-96.76803242448453	-0.11831566674164762	-0.0030678234705725504	-5.77464883158305	-13.387846734545	-14.262462178131255	-0.0016349078484507729	-0.2298117980968879	0.0	0.0	0.24559130264032092	-136.62463350251613
-1.04	-0.38204081632653053	-5.6544792389397	-0.37017759706080255	-95.41460457596818	-0.11831559016806636	-0.003067821506169799	-7.067695206478977	-13.386018411666463	-14.25795943860248	-0.00191333701183094	-0.2301250359735434	0.0	0.0	0.24559112438720376	-136.258765128989
-1.04	-0.29714285714285715	-5.7396300195796925	-0.07067712913787716	-94.11268195802445	-0.11831551359559356	-0.0030678195417686016	-8.417287097422602	-13.38421600655834	-14.253445690784243	-0.0021941308100563717	-0.23043543371734643	0.0	0.0	0.24559094613418964	-136.08635985303778
-1.04	-0.21224489795918355	-5.826456955982678	0.145007177987182	-92.86233188259693	-0.11831543702419012	-0.0030678175773686256	-9.82251646004027	-13.382439267560194	-14.248920719972915	-0.002477317768443399	-0.23074292679621777	0.0	0.0	0.2455907678812821	-136.10667083945074
-1.04	-0.12734693877551018	-5.914966571913453	0.2767880395807367	-91.66362162364933	-0.11831536045395197	-0.0030678156129695378	-11.282479924662162	-13.380687944190122	-14.244384030091013	-0.002762926820726541	-0.23104748995889857	0.0	0.0	0.24559058962846336	-136.31895505814344
-1.04	-0.0424489795918368	-6.005164706966184	0.32457814177502087	-90.51661841708474	-0.11831528388478318	-0.0030678136485721152	-12.79627793889227	-13.378961787171555	-14.239835213002916	-0.0030509873146566946	-0.23134917087034168	0.0	0.0	0.24559041137576187	-136.72247276568524
-1.04	0.0424489795918368	-6.097056495649781	0.2882901415832606	-89.42138946065106	-0.11831520731668732	-0.003067811684176469	-14.363015439525473	-13.377260548405204	-14.2352739947024	-0.0033415290176295187	-0.23164777536465309	0.0	0.0	0.2455902331231563	-137.31648788761063
-1.04	0.1273469387755104	-6.190646326854562	0.1678366669188165	-88.3780019138495	-0.11831513074973543	-0.003067809719780934	-15.981801572320144	-13.375583980984281	-14.230700156779697	-0.003634582122328034	-0.23194324070155403	0.0	0.0	0.24559005487065022	-138.10026799229212
-1.04	0.21224489795918355	-6.285937789265176	-0.03686968338645613	-87.38652289784436	-0.11831505418387067	-0.0030678077553876193	-17.65174978279061	-13.37393183918774	-14.22611333128869	-0.00393017725233058	-0.23223550514310354	0.0	0.0	0.24558987661826492	-139.07308399147948
-1.04	0.29714285714285715	-6.382933620588233	-0.3259163395627809	-86.44701949538192	-0.11831497761908949	-0.003067805790995193	-19.371977685982905	-13.372303878476679	-14.221513162511336	-0.004228345467749861	-0.23252450545380832	0.0	0.0	0.24558969836597555	-140.2342101184695
-1.04	0.38204081632653075	-6.481635675386087	-0.6993907608828067	-85.55955875068123	-0.11831490105544162	-0.0030678038266044316	-21.14160737000394	-13.370699855507759	-14.21689931406118	-0.004529118270856003	-0.23281017685733119	0.0	0.0	0.24558952011378565	-141.58292420641945
-1.04	0.46693877551020435	-6.582044867047671	-1.1573804356417767	-84.724207669375	-0.11831482449285247	-0.0030678018622147807	-22.959765013753184	-13.369119528111476	-14.212271237218026	-0.004832527611652537	-0.23309240748570126	0.0	0.0	0.24558934186170234	-143.11850697073788
-1.04	0.5518367346938775	-6.684161114781148	-1.69997288113521	-83.94103321836933	-0.11831474793140728	-0.003067799897826351	-24.825581063995863	-13.367562655311495	-14.207628627998044	-0.0051386058934452805	-0.23337114783213053	0.0	0.0	0.2455891636097256	-144.8402426995362
-1.04	0.6367346938775511	-6.787983282765538	-2.327255643636704	-83.21010232583083	-0.11831467137103502	-0.0030677979334392536	-26.73819035888942	-13.366028997306614	-14.202971081057612	-0.005447385978379238	-0.23364632369177585	0.0	0.0	0.24558898535783413	-146.7474188831035
-1.04	0.7216326530612247	-6.893509144388759	-3.0393162983758657	-82.53148188101963	-0.11831459481178896	-0.0030677959690532663	-28.69673226687386	-13.36451831548213	-14.198298182754773	-0.005758901192901789	-0.23391767287703757	0.0	0.0	0.245588807106067	-148.83932624663976
-1.04	0.8065306122448979	-7.000735301739951	-3.836242449515993	-81.90523873425651	-0.11831451825360162	-0.0030677940046687224	-30.70034954162164	-13.363030372403799	-14.193609511172895	-0.006073185333193898	-0.23418521251151247	0.0	0.0	0.24558862885439936	-151.11525799195937
-1.04	0.8914285714285715	-7.109657128759807	-4.718121730126626	-81.33143969677721	-0.11831444169655825	-0.0030677920402852887	-32.74819068262583	-13.361564931814513	-14.188904635824144	-0.006390272670508068	-0.2344490516572577	0.0	0.0	0.24558845060282408	-153.57451191338993
-1.04	0.9763265306122451	-7.220268719501689	-5.685041802159233	-80.8101515407156	-0.11831436514055937	-0.0030677900759034094	-34.839407117223885	-13.36012175863457	-14.18418289412687	-0.006710197956446784	-0.23470907964868282	0.0	0.0	0.24558827235135894	-156.21638699283207
-1.04	1.0612244897959187	-7.3325628072760765	-6.737090356422925	-80.34144099896119	-0.11831428858571869	-0.00306778811152264	-36.973155138678976	-13.358700618968854	-14.17944399742803	-0.007032996428120164	-0.2349652051068727	0.0	0.0	0.24558809410001103	-159.04018610186824
-1.04	1.1461224489795918	-7.44653071262519	-7.8743551125550795	-79.9253747650883	-0.11831421203195802	-0.0030677861471430923	-39.14859535361269	-13.3573012800924	-14.174687397843623	-0.007358703813210354	-0.2352173472762793	0.0	0.0	0.24558791584874484	-162.04521475523717
-1.04	1.2310204081632654	-7.56216224308497	-9.09692381899464	-79.56201949325192	-0.11831413547927738	-0.0030677841827650987	-41.364892458381476	-13.355923510460798	-14.16991261753633	-0.007687356334902695	-0.23546542333463805	0.0	0.0	0.24558773759758523	-165.23078110344414
-1.04	1.315918367346939	-7.679445657394467	-10.404884252949763	-79.25144179814434	-0.11831405892774782	-0.0030677822183879933	-43.62121668874936	-13.354567079695848	-14.165119311940352	-0.008018990716666785	-0.2357093891596449	0.0	0.0	0.24558755934653576	-168.59619745055002
-1.04	1.4008163265306122	-7.79836755687046	-11.798324220372734	-78.99370825484588	-0.11831398237724855	-0.00306778025401222	-45.91674020772976	-13.353231758596657	-14.160306989535385	-0.00835364418689366	-0.2359491815276602	0.0	0.0	0.2455873810955893	-172.14077619520108
-1.04	1.4857142857142858	-7.918912824681456	-13.277331555923219	-78.78888539877771	-0.11831390582792167	-0.0030677782896380013	-48.250642212016515	-13.351917319139197	-14.155475143088292	-0.008691354483325142	-0.23618464433985942	0.0	0.0	0.2455872028447459	-175.8638349337224
-1.04	1.5706122448979594	-8.041064528053312	-14.841994122938061	-78.63703972561001	-0.11831382927967127	-0.0030677763252653367	-50.62210425839727	-13.350623534458244	-14.150623305358064	-0.009032159857299327	-0.23641569942399343	0.0	0.0	0.24558702459400195	-179.76469191510716
-1.04	1.655510204081633	-8.16480385211878	-16.492399813396624	-78.53823769116684	-0.11831375273250444	-0.0030677743608928942	-53.03031256063781	-13.349350178866295	-14.145750963986998	-0.009376099077769595	-0.23664224326405403	0.0	0.0	0.24558684634336103	-183.84266808326515
-1.04	1.7404081632653061	-8.290109996211072	-18.228636547889757	-78.49254571133359	-0.11831367618644606	-0.003067772396522672	-55.47445816998798	-13.348097027839472	-14.140857579835846	-0.00972321143505539	-0.23686417451681052	0.0	0.0	0.24558666809283025	-188.09708719953974
-1.04	1.8253061224489797	-8.41696008437441	-20.050792275576207	-78.50003016196862	-0.11831359964149257	-0.0030677704321538934	-57.95373716657073	-13.346863858018963	-14.135942614472143	-0.010073536744342526	-0.23708139392847372	0.0	0.0	0.2455864898423883	-192.52727597188516
-1.04	1.9102040816326533	-8.545329083685942	-21.95895497414837	-78.56075737884163	-0.11831352309762977	-0.003067768467785559	-60.467348065660715	-13.345650447209138	-14.131005270348439	-0.010427115348848659	-0.2372937620366926	0.0	0.0	0.24558631159206	-197.13256107725317
-1.04	1.9951020408163265	-8.675189679533219	-23.95321264979212	-78.67479365749466	-0.11831344655488962	-0.0030677665034195556	-63.014496264973815	-13.344456574384353	-14.126045048671426	-0.010783988122678778	-0.23750119586470753	0.0	0.0	0.24558613334182766	-201.91227413855347
-1.04	2.08	-8.806512214211693	-26.03365333715066	-78.84220525323914	-0.11831337001322595	-0.0030677645390536634	-65.59438748811942	-13.343282019668386	-14.121061487794705	-0.011144196473288126	-0.23770360518385125	0.0	0.0	0.24558595509170544	-206.86574478130171
-0.9975510204081633	-2.08	-3.7669288363928786	-24.141745383766896	-123.53561499445209	-0.10084004759821497	-0.0029329624627990603	7.3412820368310605	-12.40413887064225	-12.011633092532584	0.0033601974071935103	-0.21399901911767216	0.0	0.0	0.23662441599997663	-168.59656655672714
-0.9975510204081633	-1.9951020408163267	-3.8179055271669426	-22.16427469641981	-121.25543911077162	-0.1008400053844909	-0.002932960621759406	7.319002217265098	-12.401748270748136	-12.007999895562019	0.0031221550710833768	-0.21435727742536415	0.0	0.0	0.23662424329830856	-164.40674912846566
