x	y	likelihood_ewpt.yaml	global
-1.04	-2.08	-88.73756867690614	-88.73756867690614
-1.04	-1.9951020408163267	-86.04145325160484	-86.04145325160484
-1.04	-1.910204081632653	-83.4355170115179	-83.4355170115179
-1.04	-1.8253061224489797	-80.91984744975387	-80.91984744975387
-1.04	-1.7404081632653061	-78.49453202863202	-78.49453202863202
-1.04	-1.6555102040816327	-76.15965817957797	-76.15965817957797
-1.04	-1.5706122448979594	-73.91531330303808	-73.91531330303808
-1.04	-1.4857142857142858	-71.76158476839107	-71.76158476839107
-1.04	-1.4008163265306122	-69.69855991383736	-69.69855991383736
-1.04	-1.3159183673469388	-67.72632604633107	-67.72632604633107
-1.04	-1.2310204081632654	-65.84497044145158	-65.84497044145158
-1.04	-1.1461224489795918	-64.05458034335146	-64.05458034335146
-1.04	-1.0612244897959184	-62.35524296461719	-62.35524296461719
-1.04	-0.9763265306122448	-60.74704548622631	-60.74704548622631
-1.04	-0.8914285714285715	-59.23007505740486	-59.23007505740486
-1.04	-0.8065306122448979	-57.80441879557246	-57.80441879557246
-1.04	-0.7216326530612245	-56.4701637862329	-56.4701637862329
-1.04	-0.6367346938775511	-55.22739708287821	-55.22739708287821
-1.04	-0.5518367346938775	-54.07620570690743	-54.07620570690743
-1.04	-0.46693877551020413	-53.01667664752763	-53.01667664752763
-1.04	-0.38204081632653053	-52.04889686166629	-52.04889686166629
-1.04	-0.29714285714285715	-51.172953273867904	-51.172953273867904
-1.04	-0.21224489795918355	-50.3889327762181	-50.3889327762181
-1.04	-0.12734693877551018	-49.69692222823997	-49.69692222823997
-1.04	-0.0424489795918368	-49.09700845681108	-49.09700845681108
-1.04	0.0424489795918368	-48.589278256069576	-48.589278256069576
-1.04	0.1273469387755104	-48.17381838731028	-48.17381838731028
-1.04	0.21224489795918355	-47.85071557892496	-47.85071557892496
-1.04	0.29714285714285715	-47.620056526263625	-47.620056526263625
-1.04	0.38204081632653075	-47.48192789160157	-47.48192789160157
-1.04	0.46693877551020435	-47.43641630399772	-47.43641630399772
-1.04	0.5518367346938775	-47.48360835923556	-47.48360835923556
-1.04	0.6367346938775511	-47.623590619721185	-47.623590619721185
-1.04	0.7216326530612247	-47.85644961438804	-47.85644961438804
-1.04	0.8065306122448979	-48.182271838624715	-48.182271838624715
-1.04	0.8914285714285715	-48.60114375416404	-48.60114375416404
-1.04	0.9763265306122451	-49.11315178901435	-49.11315178901435
-1.04	1.0612244897959187	-49.71838233734654	-49.71838233734654
-1.04	1.1461224489795918	-50.416921759420845	-50.416921759420845
-1.04	1.2310204081632654	-51.208856381506536	-51.208856381506536
-1.04	1.315918367346939	-52.094272495763136	-52.094272495763136
-1.04	1.4008163265306122	-53.07325636017973	-53.07325636017973
-1.04	1.4857142857142858	-54.145894198467445	-54.145894198467445
-1.04	1.5706122448979594	-55.31227219998701	-55.31227219998701
-1.04	1.655510204081633	-56.57247651964708	-56.57247651964708
-1.04	1.7404081632653061	-57.92659327782481	-57.92659327782481
-1.04	1.8253061224489797	-59.37470856026138	-59.37470856026138
-1.04	1.9102040816326533	-60.916908418009655	-60.916908418009655
-1.04	1.9951020408163265	-62.55327886729893	-62.55327886729893
-1.04	2.08	-64.2839058894899	-64.2839058894899
-0.9975510204081633	-2.08	-83.70884756283708	-83.70884756283708
-0.9975510204081633	-1.9951020408163267	-81.03265796008537	-81.03265796008537
-0.9975510204081633	-1.910204081632653	-78.44665114038611	-78.44665114038611
-0.9975510204081633	-1.8253061224489797	-75.95091458043555	-75.95091458043555
-0.9975510204081633	-1.7404081632653061	-73.54553572616408	-73.54553572616408
-0.9975510204081633	-1.6555102040816327	-71.2306019925973	-71.2306019925973
-0.9975510204081633	-1.5706122448979594	-69.00620076380544	-69.00620076380544
-0.9975510204081633	-1.4857142857142858	-66.87241939277388	-66.87241939277388
-0.9975510204081633	-1.4008163265306122	-64.82934520133854	-64.82934520133854
-0.9975510204081633	-1.3159183673469388	-62.87706548008171	-62.87706548008171
-0.9975510204081633	-1.2310204081632654	-61.01566748821429	-61.01566748821429
-0.9975510204081633	-1.1461224489795918	-59.24523845353367	-59.24523845353367
-0.9975510204081633	-1.0612244897959184	-57.56586557227699	-57.56586557227699
-0.9975510204081633	-0.9763265306122448	-55.97763600905711	-55.97763600905711
-0.9975510204081633	-0.8914285714285715	-54.480636896784176	-54.480636896784176
-0.9975510204081633	-0.8065306122448979	-53.074955336520176	-53.074955336520176
-0.9975510204081633	-0.7216326530612245	-51.760678397446384	-51.760678397446384
-0.9975510204081633	-0.6367346938775511	-50.53789311673101	-50.53789311673101
-0.9975510204081633	-0.5518367346938775	-49.40668649945867	-49.40668649945867
-0.9975510204081633	-0.46693877551020413	-48.3671455185099	-48.3671455185099
-0.9975510204081633	-0.38204081632653053	-47.419357114511826	-47.419357114511826
-0.9975510204081633	-0.29714285714285715	-46.563408195706856	-46.563408195706856
-0.9975510204081633	-0.21224489795918355	-45.79938563788548	-45.79938563788548
-0.9975510204081633	-0.12734693877551018	-45.12737628428056	-45.12737628428056
-0.9975510204081633	-0.0424489795918368	-44.54746694548136	-44.54746694548136
-0.9975510204081633	0.0424489795918368	-44.059744399353164	-44.059744399353164
-0.9975510204081633	0.1273469387755104	-43.66429539091103	-43.66429539091103
-0.9975510204081633	0.21224489795918355	-43.36120663228036	-43.36120663228036
-0.9975510204081633	0.29714285714285715	-43.150564802564375	-43.150564802564375
-0.9975510204081633	0.38204081632653075	-43.032456547764355	-43.032456547764355
-0.9975510204081633	0.46693877551020435	-43.00696848070187	-43.00696848070187
-0.9975510204081633	0.5518367346938775	-43.074187180912375	-43.074187180912375
-0.9975510204081633	0.6367346938775511	-43.23419919456879	-43.23419919456879
-0.9975510204081633	0.7216326530612247	-43.487091034373464	-43.487091034373464
-0.9975510204081633	0.8065306122448979	-43.83294917948395	-43.83294917948395
-0.9975510204081633	0.8914285714285715	-44.27186007542448	-44.27186007542448
-0.9975510204081633	0.9763265306122451	-44.80391013398078	-44.80391013398078
-0.9975510204081633	1.0612244897959187	-45.42918573312413	-45.42918573312413
-0.9975510204081633	1.1461224489795918	-46.14777321691324	-46.14777321691324
-0.9975510204081633	1.2310204081632654	-46.95975889541822	-46.95975889541822
-0.9975510204081633	1.315918367346939	-47.865229044620264	-47.865229044620264
-0.9975510204081633	1.4008163265306122	-48.864269906316125	-48.864269906316125
-0.9975510204081633	1.4857142857142858	-49.956967688046916	-49.956967688046916
-0.9975510204081633	1.5706122448979594	-51.14340856300667	-51.14340856300667
-0.9975510204081633	1.655510204081633	-52.423678669940244	-52.423678669940244
-0.9975510204081633	1.7404081632653061	-53.79786411305686	-53.79786411305686
-0.9975510204081633	1.8253061224489797	-55.266050961967196	-55.266050961967196
-0.9975510204081633	1.9102040816326533	-56.82832525156016	-56.82832525156016
-0.9975510204081633	1.9951020408163265	-58.48477298194476	-58.48477298194476
-0.9975510204081633	2.08	-60.23548011833465	-60.23548011833465
-0.9551020408163265	-2.08	-78.89610118417136	-78.89610118417136
-0.9551020408163265	-1.9951020408163267	-76.23984883089203	-76.23984883089203
-0.9551020408163265	-1.910204081632653	-73.6737828590724	-73.6737828590724
-0.9551020408163265	-1.8253061224489797	-71.19799072900108	-71.19799072900108
-0.9551020408163265	-1.7404081632653061	-68.8125598701909	-68.8125598701909
-0.9551020408163265	-1.6555102040816327	-66.51757768127604	-66.51757768127604
-0.9551020408163265	-1.5706122448979594	-64.31313152991866	-64.31313152991866
-0.9551020408163265	-1.4857142857142858	-62.19930875272178	-62.19930875272178
-0.9551020408163265	-1.4008163265306122	-60.17619665513669	-60.17619665513669
-0.9551020408163265	-1.3159183673469388	-58.24388251134741	-58.24388251134741
-0.9551020408163265	-1.2310204081632654	-56.40245356420827	-56.40245356420827
-0.9551020408163265	-1.1461224489795918	-54.65199702513442	-54.65199702513442
-0.9551020408163265	-1.0612244897959184	-52.992600074011335	-52.992600074011335
-0.9551020408163265	-0.9763265306122448	-51.42434985908716	-51.42434985908716
-0.9551020408163265	-0.8914285714285715	-49.9473334969131	-49.9473334969131
-0.9551020408163265	-0.8065306122448979	-48.56163807221711	-48.56163807221711
-0.9551020408163265	-0.7216326530612245	-47.26735063782972	-47.26735063782972
-0.9551020408163265	-0.6367346938775511	-46.064558214582505	-46.064558214582505
-0.9551020408163265	-0.5518367346938775	-44.953347791230584	-44.953347791230584
-0.9551020408163265	-0.46693877551020413	-43.93380632433755	-43.93380632433755
-0.9551020408163265	-0.38204081632653053	-43.006020738205294	-43.006020738205294
-0.9551020408163265	-0.29714285714285715	-42.170077924768925	-42.170077924768925
-0.9551020408163265	-0.21224489795918355	-41.426064743506444	-41.426064743506444
-0.9551020408163265	-0.12734693877551018	-40.774068021348256	-40.774068021348256
-0.9551020408163265	-0.0424489795918368	-40.2141745525924	-40.2141745525924
-0.9551020408163265	0.0424489795918368	-39.74647109881499	-39.74647109881499
-0.9551020408163265	0.1273469387755104	-39.37104438875258	-39.37104438875258
-0.9551020408163265	0.21224489795918355	-39.087981118243476	-39.087981118243476
-0.9551020408163265	0.29714285714285715	-38.89736795012021	-38.89736795012021
-0.9551020408163265	0.38204081632653075	-38.79929151412621	-38.79929151412621
-0.9551020408163265	0.46693877551020435	-38.79383840681576	-38.79383840681576
-0.9551020408163265	0.5518367346938775	-38.88109519147514	-38.88109519147514
-0.9551020408163265	0.6367346938775511	-39.0611483980222	-39.0611483980222
-0.9551020408163265	0.7216326530612247	-39.33408452292652	-39.33408452292652
