x	y	custom_beta
-1.04	-2.08	-150.77938246099905
-1.04	-1.9951020408163267	-150.77924712643903
-1.04	-1.910204081632653	-150.77910893044995
-1.04	-1.8253061224489797	-150.77896787303183
-1.04	-1.7404081632653061	-150.77882395418465
-1.04	-1.6555102040816327	-150.7786771739084
-1.04	-1.5706122448979594	-150.77852753220307
-1.04	-1.4857142857142858	-150.7783750290687
-1.04	-1.4008163265306122	-150.7782196645053
-1.04	-1.3159183673469388	-150.7780614385128
-1.04	-1.2310204081632654	-150.77790035109126
-1.04	-1.1461224489795918	-150.77773640224066
-1.04	-1.0612244897959184	-150.777569591961
-1.04	-0.9763265306122448	-150.77739992025226
-1.04	-0.8914285714285715	-150.7772273871145
-1.04	-0.8065306122448979	-150.77705199254765
-1.04	-0.7216326530612245	-150.77687373655175
-1.04	-0.6367346938775511	-150.7766926191268
-1.04	-0.5518367346938775	-150.7765086402728
-1.04	-0.46693877551020413	-150.77632179998972
-1.04	-0.38204081632653053	-150.7761320982776
-1.04	-0.29714285714285715	-150.77593953513642
-1.04	-0.21224489795918355	-150.77574411056617
-1.04	-0.12734693877551018	-150.77554582456685
-1.04	-0.0424489795918368	-150.7753446771385
-1.04	0.0424489795918368	-150.7751406682811
-1.04	0.1273469387755104	-150.7749337979946
-1.04	0.21224489795918355	-150.77472406627908
-1.04	0.29714285714285715	-150.77451147313448
-1.04	0.38204081632653075	-150.77429601856082
-1.04	0.46693877551020435	-150.7740777025581
-1.04	0.5518367346938775	-150.77385652512632
-1.04	0.6367346938775511	-150.77363248626548
-1.04	0.7216326530612247	-150.77340558597558
-1.04	0.8065306122448979	-150.77317582425664
-1.04	0.8914285714285715	-150.77294320110863
-1.04	0.9763265306122451	-150.77270771653156
-1.04	1.0612244897959187	-150.77246937052544
-1.04	1.1461224489795918	-150.77222816309026
-1.04	1.2310204081632654	-150.771984094226
-1.04	1.315918367346939	-150.7717371639327
-1.04	1.4008163265306122	-150.77148737221034
-1.04	1.4857142857142858	-150.77123471905892
-1.04	1.5706122448979594	-150.77097920447844
-1.04	1.655510204081633	-150.7707208284689
-1.04	1.7404081632653061	-150.77045959103032
-1.04	1.8253061224489797	-150.77019549216266
-1.04	1.9102040816326533	-150.76992853186593
-1.04	1.9951020408163265	-150.76965871014016
-1.04	2.08	-150.76938602698533
-0.9975510204081633	-2.08	-138.72238676677392
-0.9975510204081633	-1.9951020408163267	-138.7222514322139
-0.9975510204081633	-1.910204081632653	-138.72211323622483
-0.9975510204081633	-1.8253061224489797	-138.7219721788067
-0.9975510204081633	-1.7404081632653061	-138.72182825995952
-0.9975510204081633	-1.6555102040816327	-138.72168147968327
-0.9975510204081633	-1.5706122448979594	-138.72153183797795
-0.9975510204081633	-1.4857142857142858	-138.7213793348436
-0.9975510204081633	-1.4008163265306122	-138.72122397028016
-0.9975510204081633	-1.3159183673469388	-138.72106574428767
-0.9975510204081633	-1.2310204081632654	-138.72090465686614
-0.9975510204081633	-1.1461224489795918	-138.72074070801554
-0.9975510204081633	-1.0612244897959184	-138.72057389773587
-0.9975510204081633	-0.9763265306122448	-138.72040422602714
-0.9975510204081633	-0.8914285714285715	-138.72023169288937
-0.9975510204081633	-0.8065306122448979	-138.72005629832253
-0.9975510204081633	-0.7216326530612245	-138.71987804232663
-0.9975510204081633	-0.6367346938775511	-138.71969692490168
-0.9975510204081633	-0.5518367346938775	-138.71951294604767
-0.9975510204081633	-0.46693877551020413	-138.7193261057646
-0.9975510204081633	-0.38204081632653053	-138.71913640405248
-0.9975510204081633	-0.29714285714285715	-138.7189438409113
-0.9975510204081633	-0.21224489795918355	-138.71874841634104
-0.9975510204081633	-0.12734693877551018	-138.71855013034173
-0.9975510204081633	-0.0424489795918368	-138.71834898291337
-0.9975510204081633	0.0424489795918368	-138.71814497405597
-0.9975510204081633	0.1273469387755104	-138.71793810376948
-0.9975510204081633	0.21224489795918355	-138.71772837205395
-0.9975510204081633	0.29714285714285715	-138.71751577890936
-0.9975510204081633	0.38204081632653075	-138.7173003243357
-0.9975510204081633	0.46693877551020435	-138.71708200833297
-0.9975510204081633	0.5518367346938775	-138.7168608309012
-0.9975510204081633	0.6367346938775511	-138.71663679204036
-0.9975510204081633	0.7216326530612247	-138.71640989175046
-0.9975510204081633	0.8065306122448979	-138.71618013003152
-0.9975510204081633	0.8914285714285715	-138.7159475068835
-0.9975510204081633	0.9763265306122451	-138.71571202230643
-0.9975510204081633	1.0612244897959187	-138.71547367630032
-0.9975510204081633	1.1461224489795918	-138.71523246886514
-0.9975510204081633	1.2310204081632654	-138.7149884000009
-0.9975510204081633	1.315918367346939	-138.71474146970758
-0.9975510204081633	1.4008163265306122	-138.71449167798522
-0.9975510204081633	1.4857142857142858	-138.7142390248338
-0.9975510204081633	1.5706122448979594	-138.7139835102533
-0.9975510204081633	1.655510204081633	-138.7137251342438
-0.9975510204081633	1.7404081632653061	-138.7134638968052
-0.9975510204081633	1.8253061224489797	-138.71319979793753
-0.9975510204081633	1.9102040816326533	-138.7129328376408
-0.9975510204081633	1.9951020408163265	-138.71266301591504
-0.9975510204081633	2.08	-138.7123903327602
-0.9551020408163265	-2.08	-127.16776589314146
-0.9551020408163265	-1.9951020408163267	-127.16763055858145
-0.9551020408163265	-1.910204081632653	-127.16749236259237
