x	y	fast_likelihood_quarks.yaml	custom_beta	global
-1.04	-2.08	-4.4579963674202645	-0.004259395179246894	-4.4579963674202645
-1.04	-1.9951020408163267	-4.5105564108012	-0.004116719011108216	-4.5105564108012
-1.04	-1.910204081632653	-4.564560975255461	-0.003972221158392131	-4.564560975255461
-1.04	-1.8253061224489797	-4.620023607912344	-0.003825870928835684	-4.620023607912344
-1.04	-1.7404081632653061	-4.676957694653879	-0.0036776369886410976	-4.676957694653879
-1.04	-1.6555102040816327	-4.735376478402941	-0.003527487347355418	-4.735376478402941
-1.04	-1.5706122448979594	-4.795293016317373	-0.0033753893436596627	-4.795293016317373
-1.04	-1.4857142857142858	-4.8567201784427425	-0.0032213096259283702	-4.8567201784427425
-1.04	-1.4008163265306122	-4.919670620384068	-0.003065214133016525	-4.919670620384068
-1.04	-1.3159183673469388	-4.984156762849182	-0.0029070680842551155	-4.984156762849182
-1.04	-1.2310204081632654	-5.050190785561483	-0.0027468359504609907	-5.050190785561483
-1.04	-1.1461224489795918	-5.117784573459062	-0.0025844814463198418	-5.117784573459062
-1.04	-1.0612244897959184	-5.186949739305646	-0.0024199675028739875	-5.186949739305646
-1.04	-0.9763265306122448	-5.2576975597235105	-0.0022532562491051067	-5.2576975597235105
-1.04	-0.8914285714285715	-5.330038972879834	-0.0020843089926074754	-5.330038972879834
-1.04	-0.8065306122448979	-5.40398454293819	-0.0019130862025349415	-5.40398454293819
-1.04	-0.7216326530612245	-5.4795444377431295	-0.0017395474795875998	-5.4795444377431295
-1.04	-0.6367346938775511	-5.556745249683445	-0.0015636515390724526	-5.556745249683445
-1.04	-0.5518367346938775	-5.635562563716974	-0.0013853561872565479	-5.635562563716974
-1.04	-0.46693877551020413	-5.716022031035948	-0.0012046182938547645	-5.716022031035948
-1.04	-0.38204081632653053	-5.798131926093106	-0.0010213937749767865	-5.798131926093106
-1.04	-0.29714285714285715	-5.8818999755361006	-0.0008356375626590307	-5.8818999755361006
-1.04	-0.21224489795918355	-5.967333312667961	-0.000647303577807179	-5.967333312667961
-1.04	-0.12734693877551018	-6.05443845494915	-0.0004563447079135585	-6.05443845494915
-1.04	-0.0424489795918368	-6.143221240437697	-0.00026271277545220073	-6.143221240437697
-1.04	0.0424489795918368	-6.23368680704516	-6.635851138980797e-05	-6.23368680704516
-1.04	0.1273469387755104	-6.325839552270168	0.00013276847073484532	-6.325839552270168
-1.04	0.21224489795918355	-6.419683078953881	0.0003347197103948929	-6.419683078953881
-1.04	0.29714285714285715	-6.515220144823729	0.0005395479328171859	-6.515220144823729
-1.04	0.38204081632653075	-6.61245263057657	0.0007473070701280449	-6.61245263057657
-1.04	0.46693877551020435	-6.711381482213483	0.0009580523068279945	-6.711381482213483
-1.04	0.5518367346938775	-6.812006658387418	0.001171840107645039	-6.812006658387418
-1.04	0.6367346938775511	-6.914327069946864	0.0013887282506175325	-6.914327069946864
-1.04	0.7216326530612247	-7.018340544453849	0.001608775866770884	-7.018340544453849
-1.04	0.8065306122448979	-7.124043746180973	0.0018320434787710838	-7.124043746180973
-1.04	0.8914285714285715	-7.2314321196539595	0.0020585930342349457	-7.2314321196539595
-1.04	0.9763265306122451	-7.340499838292999	0.002288487950295348	-7.340499838292999
-1.04	1.0612244897959187	-7.451239724086463	0.0025217931519136982	-7.451239724086463
-1.04	1.1461224489795918	-7.5636431959550805	0.00275857511508093	-7.5636431959550805
-1.04	1.2310204081632654	-7.677700170163291	0.0029989019105869374	-7.677700170163291
-1.04	1.315918367346939	-7.793399024855489	0.003242843244152027	-7.793399024855489
-1.04	1.4008163265306122	-7.9107264921405545	0.003490470514861954	-7.9107264921405545
-1.04	1.4857142857142858	-8.029667597840671	0.0037418568483644776	-8.029667597840671
-1.04	1.5706122448979594	-8.150205564373323	0.003997077157805506	-8.150205564373323
-1.04	1.655510204081633	-8.272321745129489	0.0042562081854384815	-8.272321745129489
-1.04	1.7404081632653061	-8.39599552149997	0.004519328564128955	-8.39599552149997
-1.04	1.8253061224489797	-8.521204214065165	0.004786518865671496	-8.521204214065165
-1.04	1.9102040816326533	-8.647923001559661	0.0050578616589973535	-8.647923001559661
-1.04	1.9951020408163265	-8.776124797050215	0.005333441569632669	-8.776124797050215
-1.04	2.08	-8.905780187105961	0.005613345335177655	-8.905780187105961
-0.9975510204081633	-2.08	-3.933257590630433	-0.0042546140758759066	-3.933257590630433
-0.9975510204081633	-1.9951020408163267	-3.983084162632167	-0.004111874594400433	-3.983084162632167
-0.9975510204081633	-1.910204081632653	-4.034346785498769	-0.003967312389136168	-4.034346785498769
-0.9975510204081633	-1.8253061224489797	-4.087059235051299	-0.0038208967449691045	-4.087059235051299
-0.9975510204081633	-1.7404081632653061	-4.141235156869243	-0.003672596304909348	-4.141235156869243
-0.9975510204081633	-1.6555102040816327	-4.196888049738163	-0.0035223790582676884	-4.196888049738163
-0.9975510204081633	-1.5706122448979594	-4.254031245228248	-0.0033702123187140387	-4.254031245228248
-0.9975510204081633	-1.4857142857142858	-4.312677907713976	-0.003216062710407641	-4.312677907713976
-0.9975510204081633	-1.4008163265306122	-4.3728409908801495	-0.0030598961496934862	-4.3728409908801495
-0.9975510204081633	-1.3159183673469388	-4.434533234432024	-0.0029016778265713583	-4.434533234432024
-0.9975510204081633	-1.2310204081632654	-4.497767146554395	-0.002741372191735536	-4.497767146554395
