BR(B->Knunu)	BR(tau->mununu)	BR(K->pinunu)	BR(B->mumu)	BR(Bs->mumu)	RK*	RD*	logL
5.665482070534372e-06	0.1728106572734434	1.3061830904361665e-10	1.1451628550688914e-10	3.6890777759945734e-09	0.9921701035190952	0.34712912583472616	21.08197
5.750092674081987e-06	0.17280030847811426	1.2525461863829348e-10	1.1431004371433264e-10	3.671991041289652e-09	0.9699030615135862	0.35021334321010644	22.948254
6.052574224314677e-06	0.1728602956278419	9.73119339273612e-11	1.1427567392440143e-10	3.6731540198583383e-09	0.9626648240128581	0.3576747734353635	20.318579
5.6523805932543205e-06	0.17283515087887008	7.286671767501274e-11	1.1428515682550353e-10	3.6797262528598758e-09	0.9801633042100617	0.34517885798336073	21.325293
6.294395083945302e-06	0.17285715512321495	1.1406154475065551e-10	1.1421301381707424e-10	3.772399303693283e-09	0.9976484963171113	0.3649288246908195	17.590673
6.046730756014718e-06	0.17275672478132229	1.7568251981402564e-10	1.1446103807072579e-10	3.6812175075122164e-09	0.9455260391869588	0.36148182821926206	22.052475
5.6977518250076885e-06	0.17283505266910418	8.752485172330886e-11	1.1427063983232989e-10	3.69586647476543e-09	0.9898425054649289	0.34655256998657147	20.624718
5.946119311966841e-06	0.1728360440162264	7.697369801269134e-11	1.1427117654375624e-10	3.6783660146060293e-09	0.9817915480412994	0.35473373157642235	21.739706
5.78484989235157e-06	0.1728483342134935	1.1876970963176772e-10	1.1429303515748345e-10	3.6735376129364006e-09	0.9834221826528967	0.3496011720921682	22.404196
5.623567125904494e-06	0.172862896285512	7.314003706076848e-11	1.1434834305158054e-10	3.69908762287841e-09	0.9985299628393135	0.34358060802920753	20.410185
5.847989117192095e-06	0.17276208979703947	1.3140563650769177e-10	1.1424372381410314e-10	3.6724193832574796e-09	0.9740098542215421	0.3530126769886358	21.846739
6.022148633950073e-06	0.17279459992111446	7.629778916744971e-11	1.1428255613957907e-10	3.6717468593185305e-09	0.9957243187820625	0.3588027970964808	21.913984
5.7371948941118e-06	0.17286195132340332	7.225644620778115e-11	1.1426972329783738e-10	3.6715724604898904e-09	0.9304869112381443	0.3472334082525805	19.751455
6.071886944440519e-06	0.17283272209444103	1.1289023686709204e-10	1.1428212175947068e-10	3.6719100459673688e-09	0.9800620046355708	0.3593258803188908	22.242683
6.2802915645401615e-06	0.17277354837688497	1.5059994119960818e-10	1.1463436274847425e-10	3.70631891853237e-09	0.9750597195525761	0.36800258714731393	21.150932
5.496904345707244e-06	0.17285379197384224	7.293393447707586e-11	1.1427367467184805e-10	3.6750402011792566e-09	0.9949329138219488	0.3394485817378787	20.64442
5.946760907804535e-06	0.17286209634320832	7.403800102688656e-11	1.1488074479082308e-10	3.974993705662209e-09	1.0644370619845678	0.3539854272698957	18.752613
5.913619412671165e-06	0.1725595338445646	2.1600267588184206e-10	1.1450036723641257e-10	3.673056805892195e-09	0.9599141353507429	0.36547242386402856	20.77825
6.237398591246429e-06	0.1727822909499529	1.4957743837476777e-10	1.1486588505654536e-10	3.732586125664474e-09	0.9644541175410123	0.3662982240636655	19.796696
6.078527218961774e-06	0.17283717937568777	1.1025860861362834e-10	1.1428305798013437e-10	3.6724886016103755e-09	0.9199639859225999	0.35920621142681686	21.663574
5.372983807058666e-06	0.1728625847378946	7.501460230676818e-11	1.1430627518608978e-10	3.6782356399161275e-09	0.9920822273035305	0.3350997085125621	20.648926
5.472196485420355e-06	0.1728567494080593	1.1066800497709394e-10	1.1431551636722262e-10	3.675885251569761e-09	0.9856405378362774	0.3388677539082455	20.97373
6.935238447228652e-06	0.1728654110970758	6.940591530141065e-11	1.1426533456552413e-10	3.675123226340704e-09	0.9958200914938269	0.3842443455156593	18.474308
6.240785003734152e-06	0.17277507618053958	7.372817895680968e-11	1.1428577933522813e-10	3.6807313830532873e-09	0.9664789587885324	0.365774976738928	21.793306
5.551636384975582e-06	0.172778787676307	9.266105074307668e-11	1.1435955115159235e-10	3.674571268710006e-09	0.9920941763888009	0.3442503284880075	22.380793
5.564536901058247e-06	0.17280762633775357	7.10230021273812e-11	1.1428230052972476e-10	3.6709343258946467e-09	0.9894774922235667	0.3433389050640566	20.96312
5.357480350563578e-06	0.17286678812990128	8.131607666546521e-11	1.1428365540668997e-10	3.672833995569307e-09	0.9963131861992638	0.33447999869017847	20.293417
5.353670522816994e-06	0.17287057661148375	7.051051974199792e-11	1.142675362571028e-10	3.670204930382239e-09	0.9683280913443655	0.33407205286542446	20.701393
5.830292149446524e-06	0.17283241053220835	1.2986632161091256e-10	1.1429598815392108e-10	3.672543730095437e-09	0.9794356198335109	0.35168311258472085	22.619762
5.545026376211081e-06	0.17282551439704	6.941135180612743e-11	1.1431479542188454e-10	3.679386344876606e-09	0.9255036766601278	0.34185469742534286	20.284695
5.6502170928070685e-06	0.17284888562689493	1.1977127508343808e-10	1.1414100801750436e-10	3.762147612980845e-09	0.9859673829306628	0.34436930635858315	17.921097
6.2618435110071285e-06	0.17278164054849343	9.081640631638965e-11	1.1429359217867705e-10	3.672998437262247e-09	0.9456199454627661	0.36675155083561806	22.13742
6.116226623372754e-06	0.1727003714905083	8.074945192347637e-11	1.1447107024640996e-10	3.687861593967869e-09	0.9034198592036813	0.3646154967666624	19.642809
6.006201884013445e-06	0.17280324986149725	1.0325997130421634e-10	1.1428914467972823e-10	3.6716372243430344e-09	0.993848345975814	0.3582545182765142	22.316809
5.695884994311327e-06	0.17285826314892871	7.355632642169072e-11	1.1426957505673867e-10	3.6754539148448775e-09	0.9833289829413938	0.3459779701811965	21.569061
5.942646775603076e-06	0.1728123979694463	1.37414086491013e-10	1.1431005944726971e-10	3.673381883220438e-09	0.9357789215336343	0.35593136883132415	22.151274
6.526205156537668e-06	0.1727519138576467	2.2755208697525303e-10	1.145705790293851e-10	3.6942273658328043e-09	0.968135419392255	0.37655788152228664	19.040937
6.40565517477613e-06	0.1727997502794612	9.288570823351576e-11	1.1426037573513469e-10	3.6723733003302854e-09	0.9940827328420386	0.37006448190812957	21.283669
5.325316954970755e-06	0.17278591673273003	9.82436016990762e-11	1.1425677108512073e-10	3.6708836790926283e-09	0.9269537339703785	0.3348538495621267	20.97053
5.742816021773722e-06	0.1728187137742323	7.690486684085406e-11	1.1435226802730778e-10	3.683239894447643e-09	0.9501049558493935	0.34889297700057154	22.006605
5.9375676139041796e-06	0.17277010834720852	6.986874217015605e-11	1.1432994507542187e-10	3.6803862742974023e-09	0.9833641118445626	0.3566502908367236	22.362934
5.48758597754209e-06	0.1727125704554743	7.299484567039154e-11	1.1465787753431315e-10	3.690739747998646e-09	0.974259316281156	0.3438511362621958	21.408548
5.6578486762621536e-06	0.17278603885187813	9.752174856549708e-11	1.1430206848014174e-10	3.6711099361904713e-09	0.9518310177083982	0.3474595910380802	22.947578
6.103598727125103e-06	0.17276805254933197	7.333087646717205e-11	1.1427290275859103e-10	3.672896013216556e-09	0.9413722288738873	0.36162432937122196	22.142328
5.624609341805143e-06	0.17284568140064668	9.366505885709956e-11	1.1427945624181929e-10	3.670944240766784e-09	0.9545433523438726	0.3442446350577366	22.46971
5.478901906716751e-06	0.17272402008415078	7.052893312568112e-11	1.1428604833221125e-10	3.6705475744207824e-09	0.9697985878477868	0.3426548017658634	21.018446
5.658012300697896e-06	0.17276546676363957	7.128676162096675e-11	1.1431345248191697e-10	3.6736539280353116e-09	0.897575060560288	0.34755070078692357	20.925104
5.451501735212673e-06	0.17278078293000476	8.00358911049706e-11	1.1439036691293993e-10	3.6769958952907106e-09	0.9256131935511962	0.34046286305098933	21.151897
6.282090721979917e-06	0.17283649374490426	9.779510119594639e-11	1.1425922673143277e-10	3.6744304031788938e-09	0.9363650800720953	0.3650973293833377	20.98446
5.89968770775949e-06	0.17281899809697962	7.050694237047304e-11	1.143167579022763e-10	3.6908653300071603e-09	1.000693058713798	0.35384940127740183	20.905884
6.261940348997659e-06	0.17273979091199249	1.1823534949222736e-10	1.1433884593722615e-10	3.6751377714077435e-09	0.968153430297729	0.3684608954217617	21.898886
5.791755385288613e-06	0.17285782283021883	1.4413419701366963e-10	1.143120226898444e-10	3.6776737103277016e-09	0.973158338503199	0.3495127439985602	21.030756
5.5369730374605005e-06	0.17287624558561818	7.078794550419248e-11	1.1431019252641187e-10	3.6957724221829015e-09	0.9932468906641637	0.34021616646004577	19.204218
5.424173486709281e-06	0.1727210402422893	9.467300247765107e-11	1.1452203270478057e-10	3.6774882258828513e-09	0.9708766669314236	0.3420652991768813	21.511492
5.893254709494097e-06	0.17285059045490875	7.240064739984623e-11	1.1440918900876773e-10	3.7886658172009985e-09	1.0062054768501625	0.3525751264021658	18.249228
5.9074683007719015e-06	0.17274753740255827	8.05580439384204e-11	1.1429982291057564e-10	3.6717481224715017e-09	0.9762664188829869	0.3566952960930838	22.552797
6.203025269296355e-06	0.1728294595656154	1.6897878135631098e-10	1.1428640754222272e-10	3.671886508893772e-09	0.9950745956531071	0.36375545355398087	22.08644
6.287370797324182e-06	0.17273822539216047	8.156525634648782e-11	1.1433121035548155e-10	3.6773437395044793e-09	0.9621852863471407	0.3688865612490415	21.448162
5.8116456258244944e-06	0.1728475499913878	8.091319052764262e-11	1.1426407382882977e-10	3.6732032231221258e-09	0.9888769310057985	0.35004951378841537	21.540077
5.976464614789088e-06	0.17285470742870424	1.0284796517769157e-10	1.1425709123959674e-10	3.6779479911102067e-09	0.9697109366593412	0.3550539872544547	20.461655
6.393677487638866e-06	0.17280534448206633	7.128325787807796e-11	1.1481652913538717e-10	3.855729183563482e-09	1.028824629425904	0.36976902739373807	18.932444
6.821761189347137e-06	0.17284111285596604	1.07031763560934e-10	1.1425389264388331e-10	3.689626705220747e-09	0.9836116727813455	0.3813567137004682	19.660082
5.983492140979359e-06	0.1727968272393648	7.882016585728485e-11	1.1443595019936031e-10	3.6971814469936554e-09	0.9983852953881437	0.35750877745666937	21.089714
6.012243349882341e-06	0.1728109396148674	9.151472707532074e-11	1.1442651324140753e-10	3.6951855067235334e-09	0.9888551850914447	0.35805850453242993	21.570686
5.814801158713558e-06	0.1727701313140788	7.338422378268981e-11	1.1448672257372978e-10	3.6967726693949525e-09	0.971804295880337	0.35277545652717973	21.46189
6.072200736214923e-06	0.17284328587125308	1.43804968097326e-10	1.1428065655134906e-10	3.6716350539312723e-09	0.959871474916242	0.3590046240526554	22.18702
5.579648365271691e-06	0.17286187557934754	7.661595870994709e-11	1.1426326282812817e-10	3.6706428083844505e-09	0.9530898755727615	0.34189329211179864	21.18095
6.176465275114033e-06	0.17284497021250528	7.015197562123242e-11	1.1427451981046382e-10	3.6782462722403826e-09	0.9966375276427023	0.36191725576824657	20.398737
6.557616603474866e-06	0.1727413955557994	7.079696187801928e-11	1.1427297821817638e-10	3.6726875538268627e-09	0.9763787932837606	0.3765737464348811	21.145811
5.453027978673354e-06	0.17278722295223123	8.049160090442946e-11	1.1440054288548156e-10	3.6782689878768625e-09	0.9732311507318953	0.340423301909447	21.88911
6.045530960464796e-06	0.1727868964796398	9.550742089806125e-11	1.1425946400772186e-10	3.6719808258816983e-09	0.9956593450768495	0.35912391097482765	21.901001
5.5079885753708185e-06	0.1728595700593923	7.084405664395569e-11	1.1426923663615454e-10	3.670485080665601e-09	0.9826631373840002	0.33976346899546667	21.33275
5.920116871389351e-06	0.17279073483738971	1.2242858981395435e-10	1.1431961624493049e-10	3.6734594855318882e-09	0.9835475252468836	0.3560477428645189	22.8484
6.06621304402991e-06	0.17284541635662423	9.387599406213666e-11	1.1435809498920967e-10	3.69451641882501e-09	1.002227020619569	0.3586638819208653	20.963118
5.7383105264393145e-06	0.1728547952794552	7.658045069796427e-11	1.1428766635954523e-10	3.696910342365321e-09	0.981871122873963	0.34742030694555015	20.854305
