C	al	bl	aq	bq	logL
-0.12490182234513257	-0.07456265483578316	0.00292151711900085	-0.049403907505313545	0.915829127563987	26.578337
-0.12499290519191557	0.06929679057150799	0.007522460976607128	0.025702480699746292	0.997486890362132	25.713188
-0.14285774064655926	-0.07079886586930652	0.0021248566171690178	-0.04588550305298696	1.4148888286971817	26.372684
-0.10427524366342006	0.0597028389920668	-0.01216315843811066	-0.06329851495729635	0.8480029136118236	25.179224
-0.15637099103637106	-0.06247115769064586	-8.170133398936008e-05	-0.04228923239570729	1.1534760768080012	25.823597
-0.13364078806542784	-0.07144009953625809	-0.012588021276712385	-0.014244945707377256	0.9370699233425096	25.90168
-0.1759161678723121	0.05671689370606148	0.002522072377347344	-0.045442355385769	0.4469044233949929	26.61226
-0.15029221423776112	0.0715917888674837	0.005003859722297807	-0.061305705841384076	0.6307511600208967	26.7044
-0.1046889391811877	0.07287115941134263	-0.004699544625105569	-0.02291493291977985	0.8476261445570056	27.755281
-0.17776292320086498	0.07551775865616192	0.01663748027454775	-0.018862532688990196	0.3802052310875808	24.822325
-0.18964506158013397	0.07756098711498442	-0.004626515698494746	-0.03721018018752435	0.35730310933243503	26.616953
-0.1733594302026795	0.059771180519983765	-0.0023949268935041213	-0.056155447133553325	0.8842663376267345	25.193144
-0.11790927869485915	0.05106774951824215	0.005763637378231319	-0.030136856044900094	1.0400806645558025	26.142633
-0.12840850900010434	0.06330597448222547	-0.0020950994631643567	-0.017643981125655205	0.5246455944361142	27.2325
-0.1624634249151726	0.040311160967633715	0.01275611636400216	-0.014945826450952819	1.744310497603602	21.856646
-0.13593636450384922	0.05431296412519192	0.0014940975730664994	0.0015319144923979233	0.756370087475438	27.279448
-0.15372490088323926	0.06951794741711931	-0.012507321971295306	-0.05887447551655488	0.5896777351390174	24.958857
-0.1920231025934444	0.0503939520996616	5.1752404219422306e-05	-0.052954562093798764	0.4240891754715132	25.026123
-0.12290315918076705	0.06938435522389795	-0.009969836023474205	-0.018022645623724784	1.1315152991890955	26.814568
-0.09960552302148587	0.07814903781355753	0.009661180584520054	-0.07562601222381066	0.560412847475308	25.59001
