C9e	C10e	CVLe	Cnue	C9mu	C10mu	CVLmu	Cnumu	CVLtau	Cnutau	logL
-0.3082212002783391	-0.15847034345460476	0.00021135772306927456	-0.005832685003952833	-0.4573836666753859	-0.009307876963224665	1.1039179552623977e-05	-0.00013064397959453597	0.06788628771867412	-1.9321937951320503	24.541718
-0.16543483492111663	-0.40232747186341034	0.0005382749094687166	-0.015106593058650048	-0.5647830686267792	-0.0029792381431184805	2.9512329779972008e-06	0.00015939567163277083	0.08216789866863493	-2.3429672774586847	27.36185
-0.464733747295666	-0.3372529553683632	0.00043894145536586615	-0.012505542660525821	-0.7877934916538626	-0.014193210869674924	1.5955206067596498e-05	-0.00015582901113007244	0.113653539650471	-3.3179797363571897	25.18577
-0.19114530360500606	-0.3041906410258312	0.0003979491596306618	-0.011389787384880992	-0.4937937026079839	-0.001542242022794567	6.223605078837353e-07	0.00017962099025562657	0.07026919427275471	-2.0459122019103915	27.17128
0.017185282583499703	-0.45483581440671705	0.0006298973367265729	-0.017175775173378253	-0.434678262160618	-0.002972269643277207	4.735070160784858e-06	9.65616151697101e-05	0.06517342873281343	-1.8004238852583578	25.07845
-0.08552180747285201	-0.3301393149893893	0.00043852680362555294	-0.01242022952854192	-0.41223979860988347	-0.003421323826769464	4.143155269769112e-06	6.916499274152845e-05	0.05961552983912869	-1.7138796238577252	26.695803
-0.4740254246559626	-0.249154021395325	0.00033080543155388577	-0.009175448601545113	-0.7154329913578545	-0.007746454627393831	8.155005508833133e-06	5.2804904175164974e-05	0.10469750283116593	-2.9942138147616526	26.870453
-0.40653400979949256	-0.25306973739157	0.0003284248553091355	-0.009356028913675932	-0.6552278230054074	-0.004375924157659632	3.744154606454647e-06	0.00015090136735119628	0.09324806955114069	-2.730127581463491	27.250498
-0.3461070662724881	-0.3160835973398438	0.00040629606412563167	-0.011763911385675301	-0.6556352564482009	-0.0065554071101656865	6.523462499929035e-06	6.862543855249728e-05	0.09252756313413231	-2.7383891123236497	25.822584
-0.16449436753857852	-0.4209748613163792	0.000573063281319214	-0.0158099994011959	-0.5835010738388395	-0.0019681550142971933	2.358292944487671e-06	0.00020654530261200512	0.08608895712606242	-2.415773889566527	28.187712
-0.32677350040565734	-0.4844076664054866	0.0006883018290084637	-0.018121426315955078	-0.8081316036668555	-0.003049563137881089	5.343415777571962e-06	0.00027411399219606954	0.12440472045388572	-3.3504386357991134	25.859331
-0.29551745732974816	-0.2662856328104362	0.0003397275830023558	-0.009907541798977905	-0.5557122420524578	-0.006090848035576453	5.764966329099062e-06	3.799574288050811e-05	0.07801640958984314	-2.3231532999629825	23.84025
-0.11178572467307066	-0.4071801667741525	0.0005386165969577594	-0.015315792402920374	-0.5167182502996918	-0.0022476411399498146	2.0975985599339034e-06	0.0001637496895619849	0.07418386983120055	-2.140117808579307	27.97858
-0.30361246219897453	-0.335193519395969	0.0004483016632997374	-0.012505306576874617	-0.6367913578362847	-0.002014623758244099	1.4360293041643514e-06	0.00023084576379719764	0.09265993185873947	-2.6406404457740926	27.615099
-0.1316375873387698	-0.4036611930263268	0.0005250199197037985	-0.015173396258938456	-0.5275967688117694	-0.007702011480862225	8.862191071843485e-06	-3.686427821923091e-05	0.0752967907083796	-2.207889061411033	25.797907
-0.5509098290593686	-0.04522180365062592	5.6076733863073815e-05	-0.0014405258454761988	-0.5942375155800897	-0.001894117129249762	-9.555857388556941e-08	0.00021575380460826877	0.08392838467369448	-2.4744786521423423	21.561348
-0.33860521670515964	-0.3159421608946807	0.0004145140624169268	-0.011762152225546	-0.6491099512215833	-0.005437426337389742	5.21760087634985e-06	0.00010767045733472619	0.09334085760406959	-2.706681631154126	27.12649
-0.1779132202000396	-0.5250839164546369	0.0006905421389264652	-0.019734315908834104	-0.7008147137054149	-0.0021824229492827113	1.278262636431177e-06	0.0002548673200126231	0.1000096368111728	-2.900069224819146	24.806185
-0.3778099157786554	-0.3241819467082841	0.0004327921818929221	-0.012053761820589353	-0.6916827390050365	-0.010309123384353202	1.2280539591014893e-05	-5.565298558817854e-05	0.10176213711948277	-2.9032043464264574	27.06621
-0.15873766600760397	-0.3330695197564756	0.0004514128497535518	-0.012495262165940435	-0.48992837069561657	-0.001878815064274202	1.8584815398051778e-06	0.00016495155689263881	0.07209549251071865	-2.0301173742818515	27.485723
-0.36987410153736244	-0.198334560906436	0.00027380544891839195	-0.007306657747068255	-0.5640422226817314	-0.004166439733191467	4.526993227820908e-06	0.00011487627859867389	0.0853615392432845	-2.3523978549900586	27.595303
-0.4895454939558893	-0.31165607468461204	0.0004174764054811729	-0.011526896546266614	-0.7814965087043827	-0.019705059729462883	2.4537393718781484e-05	-0.00036682868819394685	0.1167452351206086	-3.3154182044526994	25.614832
-0.1995529686652206	-0.39221464085350494	0.000552394667101272	-0.014706128469456275	-0.588870385912549	-0.002897223593469172	4.2181097660793005e-06	0.00017415720073156	0.09000388377739608	-2.44287614036414	26.993757
-0.35909414103947473	-0.36274915787976625	0.0004958991021264795	-0.013517716181330018	-0.7196000571622714	-0.002243241756902911	2.0280014439492467e-06	0.00026216447253035594	0.10697226896806122	-2.9844023249174056	28.280794
-0.21822083497867917	-0.3701129190359335	0.0004770533514400341	-0.013865108452663765	-0.5850605742742975	-0.0032731797229816383	2.6382845769002306e-06	0.00015821143790482485	0.08220363388589046	-2.429639649628059	27.342474
-0.14621143157122976	-0.300512304838255	0.0003968073505814244	-0.011272759288090352	-0.44408414977482724	-0.0026395866195899533	2.4677903107446276e-06	0.00011417065889231599	0.06386872907434758	-1.8440878553056412	27.374842
-0.1463726767744064	-0.4819040394416466	0.0006241598648383655	-0.018119735544726033	-0.626257757956998	-0.0020189582582531163	1.5942863448507226e-06	0.00022511915351279376	0.08795118790247257	-2.5913494458589965	25.777536
0.03102065707247615	-0.5259986963145638	0.0007673959233609858	-0.019862962679355188	-0.49196906778950705	-0.003008971434974817	7.725086529660496e-06	0.00012263454484851086	0.07738486913891308	-2.0355365842325845	25.07338
-0.0622281108063364	-0.4907848580293508	0.0006451486142941263	-0.018495602821827505	-0.5512824516145185	-0.0017305172210475774	1.29881595490025e-06	0.00019971589619643262	0.07847311464006777	-2.278372050781112	26.923578
-0.3919515015581449	-0.383608654090822	0.0004990248954487133	-0.014290560789430988	-0.7697036539972696	-0.00585650161027068	5.327107478993781e-06	0.0001499574263568758	0.10964419819507401	-3.20676063904046	26.292717
-0.4786074026322071	-0.25714071793792415	0.0003370296940887824	-0.009474657211361464	-0.7315773222826835	-0.004170798264720566	3.3615463252030056e-06	0.00019555506067322058	0.10511996441269274	-3.0462489762000575	26.670288
-0.21421159830627537	-0.27773103763358425	0.0003661187709298891	-0.010379938948443412	-0.4848951951303062	-0.007047440743306005	8.14679515652074e-06	-3.240090008150187e-05	0.07032539366481123	-2.0326260411706416	25.525309
-0.08704009324270268	-0.4473855843759509	0.0006254256911453077	-0.016841509299269038	-0.5286621646713305	-0.0057635128981672465	9.55796280645534e-06	3.6687831265810577e-05	0.08037402497792796	-2.202399729344377	26.036879
0.22327278008486984	-0.760922270151561	0.0011468124743009632	-0.028806314945460987	-0.5341994535743398	-0.0034500364711181645	1.6849629423509746e-05	0.00012562103982526594	0.08607052683124876	-2.203224292585845	22.653036
-0.2679689665875612	-0.3212973287539902	0.0004164868329674353	-0.011998133939189677	-0.5825437344000607	-0.006722560882772252	6.860863138460271e-06	2.694893112589206e-05	0.08296145357807096	-2.4352128374696047	26.859093
-0.38001953941064454	-0.38263233163297417	0.0005233485712821656	-0.014258474321446063	-0.7588024150197181	-0.003849456006097007	3.924406568789554e-06	0.00022043904208348075	0.11312902501586664	-3.1531391626231096	27.23289
-0.40702309184563845	-0.1970214903733343	0.00026111932962501075	-0.007239825328041615	-0.598465135691536	-0.005579446482927639	5.733367175026355e-06	7.819946055243565e-05	0.08730177809619022	-2.501373505302313	27.812025
-0.20031938545454478	-0.26235349162220106	0.000344492077647359	-0.009806218466092517	-0.4593274198417156	-0.0033454572120712304	3.2111392600995096e-06	9.502194083583472e-05	0.06590230550877087	-1.91177216680085	26.609846
-0.09164485690653013	-0.23317652271943826	0.00031280341635258837	-0.008757015997702457	-0.3236961428419934	-0.0011252367825774514	1.2496254136805506e-06	0.00011332219906626103	0.04708102727164641	-1.340310824580772	25.13978
-0.2232386547040818	-0.24680229972428627	0.0003269927653447195	-0.009208095761795232	-0.46845573741774454	-0.0015852170090967937	8.189787272598128e-07	0.00016593087290188332	0.06761543475223337	-1.9430381441853894	26.519682
-0.3456302908482631	-0.4193360168995624	0.0005593761986237932	-0.015660098869761215	-0.755800141861392	-0.009166165804929946	1.148571835242382e-05	1.819382463430382e-05	0.11047935297393081	-3.1611069189062992	26.471819
-0.08820850017173283	-0.3122846838271935	0.00044210817019092003	-0.01174355262557912	-0.3962242733326359	-0.004268910630034245	6.3804634869217625e-06	2.9485331264008903e-05	0.06112736284418535	-1.6514165854614016	26.585676
-0.12489389389933403	-0.5330350715279478	0.0006926969645113405	-0.020060160544843653	-0.6554556795373152	-0.002473285884810878	2.2558990634388507e-06	0.0002219256101969616	0.09235012128009255	-2.71255180271958	26.207167
-0.3121573501346777	-0.24573311413370638	0.00033751172860838486	-0.009123780776249996	-0.553112387765028	-0.004778076466776999	5.587277308048921e-06	8.635430532694604e-05	0.08317763391135939	-2.307749118067486	27.547363
-0.396184706110006	-0.2756037911561475	0.00036912425393379806	-0.010211030928136113	-0.6099756218683474	-0.061812874681289195	8.196220840101269e-05	-0.0020389710638958184	0.09761268729175591	-2.7775736445072776	22.302797
-0.31625366491184337	-0.3618525908884349	0.0004844243397635075	-0.013505338579026827	-0.6748451624998576	-0.0032610932865952103	3.159885394235624e-06	0.00020211355577670766	0.09841587073094485	-2.802809182487341	27.907007
-0.2872994413471676	-0.48045864709900876	0.0006384175130192912	-0.017996749832772278	-0.7646233851239448	-0.0031347033131706994	2.719118714056225e-06	0.00024992548791369075	0.11047702006719723	-3.1707380332011454	26.337112
-0.3262349175259924	-0.28957575231168575	0.0003740390242034936	-0.01077269878691625	-0.6121640613540116	-0.0036466084628060482	2.701407710455104e-06	0.00015748326030119307	0.0865326039707307	-2.5468215182236005	27.316572
-0.2421814161936172	-0.37092393520472533	0.0005156038059510496	-0.013882400563996616	-0.610734050838758	-0.0023713005539729988	2.987804565785164e-06	0.00020465211086629593	0.09216141552815046	-2.5323786487793356	27.613071
-0.25842527808037397	-0.8663031325529753	0.0011616295195997124	-0.03257370850230014	-1.107673369184645	-0.017055041286039622	2.2570611005956956e-05	-0.00011084345624033677	0.16276372145243612	-4.638196294948499	20.105719
-0.05587555287578607	-0.4448484435834103	0.0005957039474843061	-0.01676416469032332	-0.4972069615644594	-0.0035170348712437937	4.627927523749461e-06	0.00010627413618201889	0.07228167150492043	-2.0628219616456396	26.930635
-1.0237377398979084	-0.4543451123510637	0.0006059712773883208	-0.016653923173324463	-1.4627747216258882	-0.01530813049437061	1.6485450482371636e-05	0.00012816257155470712	0.21505115765360786	-6.121708825217437	22.986454
-0.4822026997344155	-0.27094977949532373	0.0003604419837439562	-0.009994030008924437	-0.7488346386680634	-0.004317840537897488	3.66573741945474e-06	0.00019830486473824532	0.1091536987557544	-3.1179899035035388	26.356226
-0.03975339808957157	-0.360109498715751	0.00048329850392778915	-0.013573367724052376	-0.3959343636964773	-0.003928533076622417	5.270800273676721e-06	4.203692211570388e-05	0.05783433378253836	-1.6470745596024963	25.501663
-0.05148837880614236	-0.4279738456279351	0.00055348353660328	-0.016129910042474615	-0.47110476369239995	-0.008357460659344989	9.974811884018356e-06	-8.900650865806691e-05	0.06692490978836636	-1.9749933619370095	25.090555
-0.29346690765415434	-0.30904671358606745	0.00043778419206114827	-0.01152125687285001	-0.5962038076893622	-0.006309813497568555	8.708013087599711e-06	4.9177828436985116e-05	0.09236701000058789	-2.490481605384571	26.78826
-0.2756696880416255	-0.46166458017105555	0.0006051476916389668	-0.017293210804934435	-0.7322089413676324	-0.005125326810999957	4.989305060485741e-06	0.0001591708140926004	0.10472354055406546	-3.0450220802236734	26.616285
-0.5522865185684149	-0.0956044844070607	0.000128383570225358	-0.0033413436369770094	-0.6458749774852375	-0.002016025490067651	3.2643934119332854e-07	0.0002359489721195123	0.09621110186616004	-2.687428922096715	24.245125
-0.2714379811527874	-0.2801198743922393	0.00035951314696745947	-0.010442351096226377	-0.5488055687498709	-0.0027522867826477878	1.8294239333078267e-06	0.0001606294904027195	0.07693224649274712	-2.280326238635957	26.855848
-0.6229377186135202	-0.17044321338527876	0.0002184593379771192	-0.006132357320300136	-0.7909130686800938	-0.002467863318581896	7.579775748666414e-08	0.0002888122352694643	0.11186939794083639	-3.289029798227664	24.19684
-0.15487675611839227	-0.3250284868285881	0.0004315654694050152	-0.012193350138088529	-0.47144474471110936	-0.008460498152193508	1.0891440182682287e-05	-9.239019683346108e-05	0.06886435279169482	-1.9807098420520528	26.913715
